交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2014-11-28,CF507,12720,12740,12800,12740,12765,12765,,45,86,1330,548.88,-6
2014-11-27,CF507,12600,12655,12850,12615,12820,12720,,120,254,1336,1615.61,2
2014-11-26,CF507,12620,12660,12660,12550,12595,12600,,-20,144,1334,907.2,-4
2014-11-25,CF507,12510,12400,12855,12400,12780,12620,,110,356,1338,2246.79,160
2014-11-24,CF507,12605,12565,12575,12435,12435,12510,,-95,272,1178,1701.69,100
2014-11-21,CF507,12760,12645,12645,12590,12640,12605,,-155,170,1078,1071.54,-58
2014-11-20,CF507,12975,12870,12870,12640,12640,12760,,-215,1144,1136,7297.47,298
2014-11-19,CF507,12975,12985,12985,12960,12960,12975,,0,24,838,155.71,-20
2014-11-18,CF507,12940,12990,13000,12915,13000,12975,,35,82,858,532.07,-50
2014-11-17,CF507,13160,13170,13170,12890,12890,12940,,-220,224,908,1449.16,152
2014-11-14,CF507,13330,13345,13345,13090,13140,13160,,-170,290,756,1908.02,-40
2014-11-13,CF507,13400,13360,13370,13310,13360,13330,,-70,94,796,626.54,26
2014-11-12,CF507,13350,13395,13455,13385,13440,13400,,50,44,770,294.75,-6
2014-11-11,CF507,13470,13350,13370,13300,13355,13350,,-120,180,776,1201.69,142
2014-11-10,CF507,13370,13465,13470,13465,13470,13470,,100,14,634,94.29,12
2014-11-07,CF507,13265,13340,13400,13335,13340,13370,,105,24,622,160.47,2
2014-11-06,CF507,13325,13225,13350,13215,13350,13265,,-60,106,620,703.16,64
2014-11-05,CF507,13455,13330,13340,13245,13245,13325,,-130,64,556,426.34,6
2014-11-04,CF507,13435,13460,13480,13350,13350,13455,,20,40,550,269.12,8
2014-11-03,CF507,13560,13600,13600,13400,13400,13435,,-125,124,542,833.12,86
2014-08-11,CF507,14590,14590,14855,14590,14825,14820,,230,78,172,577.92,26
2014-08-08,CF507,14525,14555,14610,14555,14590,14590,,65,22,146,160.5,-4
2014-08-07,CF507,14440,14505,14585,14480,14520,14525,,85,76,150,551.93,-14
2014-08-06,CF507,14425,14490,14350,14465,14410,14440,,30,56,1512550,164,18
2014-08-05,CF507,14170,14360,14560,14260,14425,14410,,240,106,146,763.72,40
2014-08-04,CF507,14020,14405,14020,14335,14155,14170,,15,42,1512388,106,18
2014-08-01,CF507,14385,14340,14340,13995,13995,14155,,-390,36,88,254.78,34
2014-07-31,CF507,14360,14400,14360,14375,14400,14385,,-15,26,1512310,54,16
