交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2006-01-19,CF606,15515,15330,15400,15280,15380,15375,,-140,10178,7016,7824078,
2006-01-18,CF606,15595,15530,15545,15310,15400,15515,,-80,12710,6834,9860155,
2006-01-17,CF606,15575,15600,15630,15520,15530,15595,,20,3754,7024,2926897,
2006-01-16,CF606,15535,15550,15605,15545,15600,15575,,40,11018,7414,8580991,
2006-01-13,CF606,15505,15515,15565,15510,15520,15535,,30,13772,8428,10698798,
2006-01-12,CF606,15545,15505,15530,15480,15530,15505,,-40,11472,7726,8893417,
2006-01-11,CF606,15590,15595,15595,15520,15525,15545,,-45,15388,6846,11961183,
2006-01-10,CF606,15580,15605,15650,15560,15575,15590,,10,11608,6632,9048815,
2006-01-09,CF606,15465,15540,15610,15535,15595,15580,,115,10012,6488,7798801,
2006-01-06,CF606,15440,15455,15540,15445,15510,15465,,25,13386,6366,10350242,
2006-01-05,CF606,15470,15450,15490,15430,15480,15440,,-30,7746,5922,5979956,
2006-01-04,CF606,15375,15475,15510,15450,15465,15470,,95,7842,5894,6065479,
2005-12-30,CF606,15435,15400,15400,15315,15375,15375,,-60,14616,6248,11236523,
2005-12-29,CF606,15445,15455,15465,15375,15440,15435,,-10,14024,7354,10823033,
2005-12-28,CF606,15465,15450,15470,15395,15415,15445,,-20,30808,7412,23794807,
2005-12-27,CF606,15405,15435,15490,15435,15445,15465,,60,20452,6374,15816910,
2005-12-26,CF606,15420,15375,15435,15370,15435,15405,,-15,13546,4548,10433617,
2006-06-14,CF606,14135,13980,14200,13980,14200,14055,,-80,1236,0,8715.12,
2006-06-13,CF606,14210,14200,14205,14080,14080,14135,,-75,1186,5264,839673,
2006-06-12,CF606,14225,14225,14225,14195,14200,14210,,-15,426,5626,3026.42,
2006-06-09,CF606,14230,14245,14250,14210,14240,14225,,-5,906,5650,6445.24,
2006-06-08,CF606,14215,14250,14250,14190,14210,14230,,15,402,5206,2859.01,
2006-06-07,CF606,14210,14200,14230,14200,14205,14215,,5,788,5260,559961,
2006-06-06,CF606,14215,14200,14220,14200,14210,14210,,-5,468,5872,3326.66,
2006-06-05,CF606,14160,14240,14250,14190,14240,14215,,55,920,6178,6536.48,
2006-06-02,CF606,14110,14155,14180,14150,14180,14160,,50,638,6020,4517.75,
2006-06-01,CF606,14160,14080,14150,14065,14110,14110,,-50,332,5778,2342.38,
2006-05-31,CF606,14160,14200,14200,14105,14120,14160,,0,432,5806,3058.19,
2006-05-30,CF606,14175,14160,14170,14150,14170,14160,,-15,520,5956,3680.6,
2006-05-29,CF606,14140,14140,14185,14140,14175,14175,,35,460,5974,3259.99,
2006-05-26,CF606,14150,14180,14180,14120,14140,14140,,-10,380,6120,2685.87,
2006-05-25,CF606,14250,14180,14180,14105,14145,14150,,-100,344,6132,2434.09,
2006-05-24,CF606,14150,14260,14290,14180,14190,14250,,100,1378,6176,9816.72,
2006-05-23,CF606,14080,14130,14170,14130,14150,14150,,70,1178,6496,833237,
2006-05-22,CF606,14070,14000,14140,13990,14140,14080,,10,1324,6748,9322.14,
