交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2006-01-19,CF609,15875,15700,15870,15700,15735,15790,,-85,82,1172,647.46,
2006-01-18,CF609,15915,15880,15900,15820,15820,15875,,-40,32,1178,254.01,
2006-01-17,CF609,15915,15970,15970,15890,15900,15915,,0,22,1184,175.05,
2006-01-16,CF609,15850,15880,15930,15880,15930,15915,,65,82,1176,652.56,
2006-01-13,CF609,15780,15860,15860,15825,15835,15850,,70,74,1120,586.53,
2006-01-12,CF609,15810,15785,15810,15745,15800,15780,,-30,22,1066,173.6,
2006-01-11,CF609,15870,15810,15810,15805,15810,15810,,-60,54,1058,426.83,
2006-01-10,CF609,15825,15860,15900,15850,15850,15870,,45,104,1006,825.18,
2006-01-09,CF609,15760,15805,15855,15795,15830,15825,,65,58,908,458.99,
2006-01-06,CF609,15700,15700,15780,15700,15770,15760,,60,34,858,267.94,
2006-01-05,CF609,15715,15685,15745,15675,15745,15700,,-15,30,830,235.48,
2006-01-04,CF609,15640,15705,15725,15705,15720,15715,,75,22,814,172.85,
2005-12-30,CF609,15650,15640,15640,15570,15620,15640,,-10,1010,806,7897.42,
2005-12-29,CF609,15665,15695,15700,15635,15655,15650,,-15,366,802,2863.81,
2005-12-28,CF609,15705,15615,15730,15595,15640,15665,,-40,2436,752,1908169,
2005-12-27,CF609,15635,15670,15720,15670,15680,15705,,70,3272,740,25689.44,
2005-12-26,CF609,15625,15515,15685,15515,15640,15635,,10,2072,714,16196,
2006-06-02,CF609,14835,14950,14955,14900,14945,14935,,100,1708,6358,1275651,
2006-06-01,CF609,14865,14840,14865,14800,14840,14835,,-30,630,5710,4672.61,
2006-05-31,CF609,14905,14990,14990,14830,14835,14865,,-40,906,5462,6734.88,
2006-05-30,CF609,14940,14910,14915,14890,14915,14905,,-35,168,5338,1251.89,
2006-05-29,CF609,14905,14975,14975,14915,14935,14940,,35,478,5340,3570.81,
2006-05-26,CF609,14910,14945,14950,14880,14920,14905,,-5,238,5146,1773.81,
2006-05-25,CF609,15000,14910,14940,14850,14890,14910,,-90,778,5088,580027,
2006-05-24,CF609,14885,15090,15100,14940,14955,15000,,115,1092,4744,8188.68,
2006-05-23,CF609,14855,14875,14905,14855,14905,14885,,30,684,4502,5091.18,
2006-05-22,CF609,14835,14750,14900,14745,14895,14855,,20,498,4276,3699.52,
2006-05-19,CF609,14875,14765,14865,14765,14865,14835,,-40,1120,4202,8308.88,
2006-05-18,CF609,14900,14900,14900,14855,14885,14875,,-25,690,3920,5131.46,
2006-05-17,CF609,14850,14850,14945,14850,14940,14900,,50,332,3622,2473.29,
2006-05-16,CF609,14930,14655,14900,14655,14820,14850,,-80,810,3426,601341,
2006-05-15,CF609,14830,14830,14975,14830,14975,14930,,100,438,3378,3269.31,
2006-05-12,CF609,14775,14890,14890,14800,14830,14830,,55,116,3258,860.07,
2006-05-11,CF609,14710,14650,14850,14650,14790,14775,,65,444,3272,3279.64,
2006-05-10,CF609,14725,14760,14770,14690,14690,14710,,-15,184,3170,1353.45,
2006-05-09,CF609,14625,14690,14750,14680,14740,14725,,100,658,3156,4844.64,
2006-06-20,CF609,14495,14350,14475,14350,14445,14425,,-70,2426,9384,1749970,
2006-06-19,CF609,14715,14620,14650,14390,14440,14495,,-220,6698,9450,4854739,
2006-06-08,CF609,14955,14990,15025,14960,14960,14995,,40,1564,7228,11727.68,
2006-06-07,CF609,14965,14900,14995,14900,14995,14955,,-10,724,6750,5414.06,
2006-06-06,CF609,15005,14985,14990,14940,14960,14965,,-40,724,6786,541809,
2006-06-05,CF609,14935,15005,15035,14980,15010,15005,,70,1618,6862,1213870,
2006-06-28,CF609,14410,14385,14415,14200,14225,14285,,-125,5466,11548,3904137,
2006-06-27,CF609,14405,14450,14475,14355,14400,14410,,5,2562,10360,18461.12,
2006-06-26,CF609,14415,14460,14470,14320,14420,14405,,-10,4442,10424,3199620,
2006-07-03,CF609,14285,14310,14360,14240,14250,14295,,10,3840,11424,2744947,
2006-06-30,CF609,14260,14280,14315,14250,14285,14285,,25,3644,11418,26031.28,
2006-06-29,CF609,14285,14230,14295,14230,14250,14260,,-25,4072,11758,29036.5,
2016-09-14,CF609,13545,13500,13505,13500,13505,13505,,-40,5484,-10380,37030.7,0
2016-09-13,CF609,13475,13510,13860,13450,13575,13545,,70,248,-208,1679.55,10380
2016-09-12,CF609,13600,13565,13565,13400,13400,13475,,-125,326,-234,2207.37,10588
2016-09-09,CF609,13555,13600,13635,13520,13635,13600,,45,558,-130,3794.61,10822
2016-09-08,CF609,13520,13510,13615,13480,13615,13555,,35,1140,-798,7715.69,10952
2016-09-07,CF609,13390,13550,13825,13460,13490,13520,,130,500,-90,3380.16,11750
2016-09-06,CF609,13290,13300,13525,13235,13475,13390,,100,1778,-956,11869.6,11840
2016-09-05,CF609,13300.00,13285.00,13335.00,13245.00,13290.00,13290.00,,-10,968,-152,6431.62,12796
2016-09-02,CF609,12990.00,13115.00,13400.00,13100.00,13250.00,13300.00,,310,728,-344,4840.36,12948
2016-09-01,CF609,13155,12985,13120,12900,13105,12990,,-165,372,-218,2416,13292
2016-08-31,CF609,13220,13250,13275,12970,12975,13155,,-65,3422,-1812,22510.02,13510
2016-08-30,CF609,13290,13185,13310,13185,13205,13220,,-85,2104,-582,13908.76,15322
2016-08-29,CF609,13420,13360,13435,13180,13205,13290,,-130,1890,-920,12558.14,15904
2016-08-26,CF609,13540.00,13405.00,13525.00,13310.00,13360.00,13420.00,,-120,2020,-642,13552.33,16824
2016-08-25,CF609,13945.00,13895.00,13920.00,13300.00,13400.00,13540.00,,-405,5860,-2632,39665.26,17466
2016-08-24,CF609,14040.00,13995.00,14150.00,13340.00,13920.00,13945.00,,-95,9316,162,64948.70,20098
2016-08-23,CF609,13955.00,13950.00,14120.00,13945.00,13985.00,14040.00,,85,2402,-778,16862.62,19936
2016-08-22,CF609,14190.00,14015.00,14080.00,13810.00,13940.00,13955.00,,-235,4542,-2124,31688.88,20714
2006-06-12,CF609,15050,15050,15100,15010,15040,15055,,5,3002,9070,2259435,
2006-06-09,CF609,14995,14990,15080,14990,15070,15050,,55,3954,9028,2974971,
2016-02-05,CF609,10535,10680,10535,10565,10665,10610,,-55,97084,6896,351604,2473736
2016-02-04,CF609,10710,10755,10570,10590,10765,10665,,-100,94706,11476,344708,2376652
2016-02-03,CF609 ,10865.00,10880.00,10880.00,10680.00,10715.00,10765.00,,-100,114332,1520,615310.18,333232
2016-02-02,CF609 ,10885,10830,10900,10820,10870,10865,,-20,40470,1436,219895.49,331712
2016-02-01,CF609 ,10950,10935,10945,10835,10840,10885,,-65,48624,9760,264586.2,330276
2016-01-29,CF609,11005,10970,10995,10905,10935,10950,,-55,51302,7656,"280,824.73 ",320516
2016-01-28,CF609,"11,005.00 ","11,010.00 ","11,040.00 ","10,965.00 ","10,975.00 ","11,005.00 ",,0.00 ,39,-3,"219,128.74 ","312,860 "
2016-01-27,CF609,10995.00,10995.00,11020.00,10985.00,11020.00,11005.00,,10,27658,1484,152182.33,316400
2016-01-26,CF609,11030.00,11005.00,11040.00,10960.00,10980.00,10995.00,,-35,40492,5272,222585.43,314916
2016-01-25,CF609,11005.00,11025.00,11045.00,11015.00,11030.00,11030.00,,25,24708,-734,136274.44,309644
2016-01-22,CF609,10990.00,10970.00,11040.00,10950.00,11000.00,11005.00,,15,37394,2062,205724.15,310378
2016-01-21,CF609,11045.00,11070.00,11070.00,10950.00,10970.00,10990.00,,-55,59102,8036,324805.38,308316
2016-01-20,CF609,10945.00,10980.00,11110.00,10965.00,11060.00,11045.00,,100,93024,-6772,513753.68,300280
2016-01-19,CF609,10970.00,10940.00,10985.00,10915.00,10965.00,10945.00,,-25,56416,12120,308782.34,307052
2016-01-18,CF609,11050.00,11000.00,11025.00,10900.00,10945.00,10970.00,,-80,80910,24168,443705.92,294932
2016-01-15,CF609,11130.00,11110.00,11115.00,11000.00,11040.00,11050.00,,-80,61792,21644,341456.64,270764
2015-11-19,CF609,"11,895.00","11,925.00","11,945.00","11,800.00","11,810.00","11,855.00",,-40.00,14,3,"84,249.44","55,174"
2015-11-18,CF609,11795.00,11925.00,11930.00,11855.00,11930.00,11895.00,,100,8070,1948,47990.38,52120
2015-11-17,CF609,11755.00,11765.00,11915.00,11700.00,11910.00,11795.00,,40,17300,4572,102048.12,50172
2015-11-16,CF609,11720.00,11725.00,11795.00,11700.00,11765.00,11755.00,,35,10050,2602,59076.42,45600
2015-11-13,CF609,11620.00,11650.00,11780.00,11635.00,11730.00,11720.00,,100,7268,352,42584.21,42998
2015-11-12,CF609,11650.00,11645.00,11670.00,11585.00,11650.00,11620.00,,-30,12186,4480,70801.40,42646
2015-11-11,CF609,11650.00,11695.00,11710.00,11610.00,11645.00,11650.00,,0,6222,3228,36235.79,38166
2015-11-10,CF609,11615.00,11665.00,11680.00,11605.00,11670.00,11650.00,,35,6658,492,38782.73,34938
2015-11-09,CF609,11550.00,11535.00,11685.00,11520.00,11665.00,11615.00,,65,8100,968,47048.23,34446
2015-11-06,CF609,11640,11590,11610,11510,11525,11550,,-90,6296,2436,36360.84,33478
2015-11-05,CF609,11685,11680,11720,11565,11590,11640,,-45,4658,1496,27111.45,31042
2015-11-04,CF609,11715,11675,11725,11640,11685,11685,,-30,5818,1184,33992.06,29546
2015-11-03,CF609,11695,11700,11760,11665,11675,11715,,20,3844,70,22517.51,28362
2015-10-29,CF609,11695,11655,11660,11540,11645,11605,,-90,6316,28622,2272,36644.11
2016-07-22,CF609,15140,15230,15485,14940,14970,15260,,120,70456,-3226,537506.51,69108
2016-07-21,CF609,15110,15055,15305,14975,15205,15140,,30,63216,-4880,478523.69,72334
2016-07-20,CF609,15340,15330,15400,14815,15085,15110,,-230,121752,-6540,919880.13,77214
2016-07-19,CF609,15415,15610,15610,15190,15325,15340,,-75,116806,-4424,895797.03,83754
2016-07-18,CF609,15540,15715,15780,15130,15440,15415,,-125,140124,-11598,1080021.13,88178
2016-07-15,CF609,15390,15490,15680,15390,15570,15540,,150,114222,2468,887559.77,99776
2016-07-14,CF609,15285,15400,15580,15160,15490,15390,,105,124378,-2034,957194.03,97308
2016-07-13,CF609,14885,14920,15630,14765,15365,15285,,400,188450,-3184,1440336.58,99342
2016-07-12,CF609,14355,14735,15070,14635,14990,14885,,530,148456,3708,1104971.96,102526
2016-07-11,CF609,14235,14115,14700,13990,14685,14355,,120,145490,-6448,1044316.83,98818
2016-07-08,CF609,14625,14630,14775,13900,14005,14235,,-390,205308,-4422,1461163.39,105266
2016-07-07,CF609,14445,14340,14825,14325,14585,14625,,180,212862,-1468,1556378.14,109688
2016-07-06,CF609,14805,14680,14955,14135,14515,14445,,-360,258416,-14626,1866217.28,111156
2016-07-05,CF609,14865,15265,15345,14190,14645,14805,,-60,303694,-32820,2247962.34,125782
2016-07-04,CF609,14360,14360,15080,14360,15080,14865,,505,284390,-4062,2113573.86,158602
2016-07-01,CF609,14435,14395,14525,14200,14370,14360,,-75,256000,-23250,1837975.48,162664
2016-06-30,CF609,14395,14540,14585,14270,14385,14435,,40,459932,-27116,3319029.84,185914
2016-06-29,CF609,13840,14125,14535,14095,14535,14395,,555,617680,-20778,4445634.75,213030
2016-06-28,CF609,13490,13550,14135,13550,14040,13840,,350,574546,-9548,3976458.62,233808
2015-12-09,CF609,11520.00,11450.00,11495.00,11420.00,11480.00,11465.00,,-55,8150,1550,46714.94,78160
2015-12-08,CF609,11615.00,11620.00,11625.00,11445.00,11450.00,11520.00,,-95,11654,3752,67132.21,76610
2015-12-07,CF609,11560.00,11560.00,11640.00,11555.00,11625.00,11615.00,,55,9862,2548,57263.37,72858
2006-03-14,CF609,15315,15280,15300,15200,15270,15225,,-90,488,2452,3714.34,
2006-03-13,CF609,15350,15315,15355,15295,15300,15315,,-35,98,2848,750.38,
2006-03-10,CF609,15355,15435,15435,15275,15275,15350,,-5,82,2800,629.37,
2006-03-09,CF609,15265,15320,15400,15320,15380,15355,,90,60,2796,460.61,
2006-03-08,CF609,15235,15325,15325,15250,15260,15265,,30,688,2768,5251.25,
2006-03-07,CF609,15215,15170,15380,15000,15370,15235,,20,212,2742,1615.12,
2006-03-06,CF609,15310,15250,15250,15160,15200,15215,,-95,40,2732,304.25,
2006-03-03,CF609,15445,15420,15420,15285,15295,15310,,-135,86,2722,658.38,
2006-03-02,CF609,15525,15250,15475,15250,15450,15445,,-80,44,2744,339.8,
2006-03-01,CF609,15490,15470,15550,15470,15550,15525,,35,34,2760,263.96,
2006-02-28,CF609,15595,15425,15530,15425,15510,15490,,-105,1330,2770,1030031,
2006-02-27,CF609,15715,15635,15670,15565,15565,15595,,-120,140,1668,1091.63,
2006-02-24,CF609,15765,15670,15750,15670,15750,15715,,-50,138,1708,1084.22,
2006-02-23,CF609,15765,15800,15815,15720,15720,15765,,0,44,1712,346.79,
2006-02-22,CF609,15805,15660,15800,15660,15760,15765,,-40,40,1688,315.25,
2006-02-21,CF609,15885,15915,15915,15750,15820,15805,,-80,114,1662,900.95,
2006-02-20,CF609,15950,15910,15910,15870,15890,15885,,-65,72,1624,571.92,
2006-02-17,CF609,15980,15960,16035,15910,15915,15950,,-30,168,1604,1339.8,
2006-02-16,CF609,16020,15955,16000,15955,15990,15980,,-40,48,1586,383.47,
2016-05-27,CF609,12720,13055,13260,12855,13100,13040,,320,1077118,37310,7023021.3,360148
2016-05-26,CF609,12410,12500,13035,12455,13035,12720,,310,696486,85758,4430149.54,322838
2016-05-25,CF609,12365,12455,12650,12250,12480,12410,,45,481910,-7620,2990341.54,237080
2016-05-24,CF609,12540,12385,12470,12260,12415,12365,,-175,405204,912,2505124.82,244700
2016-05-23,CF609 ,12765,12715,12815,12350,12390,12540,,-225,533178,-45310,3343658.91,243788
2016-05-20,CF609 ,12665,12740,12885,12645,12745,12765,,100,455710,-3186,2908211.17,289098
2016-05-19,CF609,12635,12580,12755,12525,12740,12665,,30,597006,10084,3780660.44,292284
2016-05-18,CF609 ,12390,12475,12835,12450,12550,12635,,245,862128,10528,5446246.25,282200
2016-05-17,CF609,12365,12350,12475,12310,12440,12390,,25,322788,4172,1999551.04,271672
2016-05-16,CF609,12375,12305,12520,12205,12335,12365,,-10,375612,8804,2321917.72,267500
2016-05-13,CF609,12455,12470,12640,12180,12300,12375,,-80,656946,-45782,4064523.89,258696
2016-05-12,CF609,12295,12280,12695,12130,12530,12455,,160,732300,304478,27194,4560346.15
2016-05-11,CF609,12170,12280,12420,12175,12335,12295,,125,401174,277284,7216,2466255.32
2016-05-10,CF609,12165,12115,12270,12015,12240,12170,,5,549446,270068,-38,3343563.66
2016-05-09,CF609,12440,12370,12485,11865,12165,12165,,-275,733250,270106,-23936,4460501.95
2016-05-06,CF609,12525,12620,12740,12230,12350,12440,,-85,674056,-32182,4191978.56,294042
2016-05-05,CF609 ,12545,12570,12600,12460,12565,12525,,-20,392690,-986,2458873.95,326224
2016-05-04,CF609 ,12725,12660,12680,12440,12530,12545,,-180,571242,12492,3582920.91,327210
2016-05-03,CF609,12475,12615,12905,12545,12755,12725,,250,558500,-4032,3553966.2,314718
2006-04-11,CF609,14925,14900,14990,14890,14945,14935,,10,122,2842,910.92,
2006-04-10,CF609,15035,14985,14985,14905,14940,14925,,-110,126,2862,940.39,
2006-04-07,CF609,15155,15010,15055,15010,15025,15035,,-120,48,2816,360.8,
2006-04-06,CF609,15060,15215,15500,15060,15065,15155,,95,80,2790,606.15,
2006-04-05,CF609,15010,15060,15150,15000,15000,15060,,50,66,2758,496.95,
2006-04-04,CF609,15050,14950,15025,14950,15025,15010,,-40,100,2728,750.38,
2006-04-03,CF609,15180,15070,15090,14985,14985,15050,,-130,316,2684,2378.22,
2006-03-31,CF609,15085,15130,15220,15110,15145,15180,,95,754,2508,572271,
2006-03-30,CF609,14960,14620,15125,14620,15125,15085,,125,384,2104,2896.19,
2006-03-29,CF609,14985,14935,15000,14920,15000,14960,,-25,68,1886,508.61,
2006-03-28,CF609,14875,15025,15040,14925,14970,14985,,110,112,1880,839.03,
2006-03-27,CF609,14885,14850,14950,14840,14950,14875,,-10,270,1884,2007.87,
2006-03-24,CF609,14860,14910,14930,14850,14900,14885,,25,172,1878,1280.21,
2006-03-23,CF609,14935,14800,14890,14780,14890,14860,,-75,438,1856,3254.7,
2006-03-22,CF609,15085,14970,14970,14900,14905,14935,,-150,236,1836,1762.15,
2006-03-21,CF609,15195,15145,15145,15035,15035,15085,,-110,54,1824,407.31,
2006-03-20,CF609,15270,15175,15250,15170,15185,15195,,-75,94,1824,714.09,
2006-03-17,CF609,15245,15265,15285,15260,15260,15270,,25,28,1822,213.77,
2006-03-16,CF609,15275,15360,15360,15240,15285,15245,,-30,522,1822,3979.53,
2006-03-15,CF609,15225,15280,15300,15255,15300,15275,,50,224,2280,1711.04,
2016-06-27,CF609,13490,13345,13635,13275,13585,13490,,0,383178,243356,-764,2584564.85
2016-06-24,CF609,13420,13540,13705,13270,13345,13490,,70,668164,-12020,4507021.31,244120
2016-06-23,CF609,13100,13230,13530,13180,13430,13420,,320,594958,14158,3992874.7,256140
2016-06-22,CF609,13255,12960,13225,12950,13210,13100,,-155,351714,-24914,2303864.01,241982
2016-06-21,CF609,13435,13420,13500,13000,13030,13255,,-180,592,-81,"3,929,361.10","266,896"
2016-06-20,CF609,13300,13530,13590,13300,13455,13435,,135,691,-11,"4,644,394.99","347,914"
2016-06-17,CF609,12915,13000,13565,12835,13480,13300,,385,1180982,82944,7853572.62,359626
2016-06-16,CF609,12815,12810,13090,12720,13000,12915,,100,465724,11730,3007030.16,276682
2016-06-15,CF609,12965,12830,12925,12730,12780,12815,,-150,348866,-12960,2235639.28,264952
2016-06-14,CF609,13100,13035,13170,12810,12845,12965,,-135,384874,-29442,2494954.55,277912
2016-06-13,CF609,12855,12835,13255,12830,13025,13100,,245,402220,18896,2634041.29,307354
2016-06-08,CF609,12965,13000,13025,12700,12900,12855,,-110,469266,-32168,3015945.36,288458
2016-06-07,CF609,"12,610.00","12,765.00","13,120.00","12,735.00","13,005.00","12,965.00",,355.00,762,23,"4,941,743.48","320,626"
2016-06-06,CF609,12580,12590,12735,12465,12675,12610,,30,462032,-5128,2913469.04,296864
2016-06-03,CF609,12650,12640,12740,12390,12470,12580,,-180,544164,12612,3422937.60,301992
2016-06-02,CF609,12710,12620,12800,12530,12590,12650,,-60,463298,-7098,2929831.18,289380
2016-06-01,CF609,13120,12805,12930,12465,12575,12710,,-410,792096,-42762,5034551.05,296478
2016-05-31,CF609,13175,13300,13375,12820,12840,13120,,-55,661088,-59602,4336603.53,339240
2016-05-30,CF609,13040,13055,13390,12965,13330,13175,,135,752022,38694,4953514.02,398842
2016-04-05,CF609,10230,10255,10355,10250,10315,10325,,95,167668,6654,865566.3,531094
2016-04-01,CF609 ,10235,10215,10270,10185,10240,10230,,-5,169286,-11170,866020.5,524440
2016-03-31,CF609 ,10280,10320,10350,10120,10200,10235,,-45,261980,-11868,1340853.45,535610
2016-03-30,CF609,10310,10250,10325,10210,10295,10280,,-30,150764,-14068,775001.22,547478
2016-03-29,CF609 ,10420,10360,10430,10220,10235,10310,,-110,292840,-5892,1509652.23,561546
2016-03-28,CF609 ,10395,10440,10495,10350,10355,10420,,25,219608,-9072,1144151.75,567438
2016-03-25,CF609 ,10450,10360,10430,10340,10420,10395,,-55,208124,12566,1081809.44,576510
2016-03-24,CF609 ,10525,10500,10560,10350,10355,10450,,-75,302250,-12794,1579401.14,563944
2016-03-23,CF609 ,10525,10435,10610,10410,10535,10525,,0,315354,-6810,1659444.18,576738
2016-03-22,CF609 ,10415,10520,10605,10440,10450,10525,,110,396126,-28138,2085042.09,583548
2016-03-21,CF609 ,10365,10380,10510,10270,10500,10415,,50,491512,20702,2559942.98,611686
2016-03-18,CF609 ,10170,10185,10460,10185,10380,10365,,195,500574,-16810,2594113.2,590984
2016-03-17,CF609 ,10110,10100,10245,10090,10185,10170,,60,243394,-26980,1237681.67,607794
2016-03-16,CF609,10150,10100,10155,10060,10110,10110,,-40,237762,6230,1201699.75,634774
2016-03-15,CF609 ,10175,10095,10215,10080,10100,10150,,-25,278398,-3502,1413134.5,628544
2016-03-14,CF609,10110,10140,10245,10100,10115,10175,,65,300680,25318,"1,529,447.10 ",632046
2016-03-11,CF609,10300,10180,10180,10040,10110,10110,,-190,336550,11244,1701676.78,606728
2016-03-10,CF609 ,10330,10300,10390,10165,10180,10300,,-30,296882,-5252,1528965.66,595484
2016-03-09,CF609,10470,10400,10455,10235,10290,10330,,-140,330476,17682,1706773.45,600736
2016-01-14,CF609,11135.00,11115.00,11140.00,11105.00,11130.00,11130.00,,-5,25244,3402,140457.71,249120
2016-01-13,CF609,11110.00,11120.00,11170.00,11105.00,11120.00,11135.00,,25,26422,400,147112.53,245718
2016-01-12,CF609,11110.00,11120.00,11140.00,11080.00,11100.00,11110.00,,0,33006,4366,183357.65,245318
2016-01-11,CF609,11065.00,11090.00,11130.00,11070.00,11120.00,11110.00,,45,46420,7084,257832.10,240952
2016-01-08,CF609,11075.00,11065.00,11125.00,10990.00,11090.00,11065.00,,-10,58034,94,321043.40,233868
2016-01-07,CF609,11145.00,11120.00,11145.00,11000.00,11070.00,11075.00,,-70,91212,14534,505032.17,233774
2016-01-06,CF609,11140.00,11120.00,11185.00,11105.00,11135.00,11145.00,,5,81078,-2352,451842.33,219240
2016-01-05,CF609,11225.00,11190.00,11205.00,11105.00,11125.00,11140.00,,-85,36206,4820,201709.14,221592
2016-01-04,CF609,11305.00,11305.00,11335.00,11055.00,11185.00,11225.00,,-80,44848,6864,251695.01,216772
2015-12-31,CF609,11305,11305,11340,11280,11295,11305,,0,45870,17694,259307.33,209908
2015-12-30,CF609,11325,11305,11330,11280,11310,11305,,-20,45528,12544,257395.55,192214
2015-12-29,CF609,11325,11295,11360,11270,11320,11325,,0,51042,10622,289059.23,179670
2015-12-28,CF609,11300.00,11355.00,11360.00,11290.00,11305.00,11325.00,,25,33318,4476,188688.07,169048
2015-12-25,CF609,11305.00,11305.00,11365.00,11225.00,11355.00,11300.00,,-5,58474,17842,330395.94,164572
2015-12-24,CF609,11375.00,11340.00,11350.00,11260.00,11290.00,11305.00,,-70,45674,16356,258154.87,146730
2015-12-23,CF609,11450.00,11450.00,11480.00,11320.00,11330.00,11375.00,,-75,42178,8214,239884.71,130374
2015-12-22,CF609,11430.00,11480.00,11485.00,11410.00,11450.00,11450.00,,20,28142,5342,161110.60,122160
2015-12-21,CF609,11335.00,11355.00,11490.00,11325.00,11485.00,11430.00,,95,36806,584,210310.39,116818
2016-03-08,CF609,10465,10550,10640,10275,10410,10470,,5,514552,-30892,2694186.84,583054
2016-03-07,CF609,10200,10240,10610,10220,10540,10465,,265,687610,15640,3597390.43,613946
2016-03-04,CF609,10125,10165,10255,10115,10235,10200,,75,259056,27672,1320955,598306
2016-03-03,CF609 ,10060,10055,10215,10000,10155,10125,,65,342894,20566,1735996.29,570634
2016-03-02,CF609 ,9995,10060,10110,10000,10045,10060,,65,231974,16376,1166831.06,550068
2016-03-01,CF609,10040,10000,10105,9890,10045,9995,,-45,363740,13540,1817622.4,533692
2016-02-29,CF609 ,10120,10075,10145,9975,9990,10040,,-80,268786,808,1349001.07,520152
2016-02-26,CF609,10175,10155,10205,10065,10080,10120,,-55,201882,11016,1021643.89,519344
2016-02-25,CF609 ,10375,10330,10330,10035,10160,10175,,-200,413552,7632,2103663.55,508328
