交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2017-07-14,CF711,14850.00,14870.00,14885.00,14650.00,14785.00,14765.00,,-85.00,150,0,"1,107.53",980
2017-07-13,CF711,14800.00,14770.00,14870.00,14770.00,14845.00,14850.00,,50.00,130,-100,965.28,980
2017-07-12,CF711,14745.00,14735.00,14860.00,14720.00,14810.00,14800.00,,55.00,250,-128,"1,850.05","1,080"
2017-07-11,CF711,14870.00,14855.00,14855.00,14665.00,14715.00,14745.00,,-125.00,106,0,781.44,"1,208"
2017-07-10,CF711,14790.00,14800.00,14975.00,14755.00,14910.00,14870.00,,80.00,92,6,684.13,"1,208"
2017-07-07,CF711,14670.00,14760.00,14810.00,14760.00,14775.00,14790.00,,120.00,36,2,266.21,"1,202"
2017-07-06,CF711,14655.00,14685.00,14685.00,14645.00,14685.00,14670.00,,15.00,18,0,132.02,"1,200"
2017-07-05,CF711,14710.00,14810.00,14810.00,14570.00,14720.00,14655.00,,-55.00,50,-4,366.32,"1,200"
2017-07-04,CF711,14740.00,14730.00,14765.00,14665.00,14730.00,14710.00,,-30.00,12,2,88.26,"1,204"
2017-07-03,CF711,14700.00,14610.00,14880.00,14595.00,14770.00,14740.00,,40.00,58,2,427.53,"1,202"
2017-06-30,CF711,14690.00,14710.00,14750.00,14675.00,14695.00,14700.00,,10.00,84,0,617.38,"1,200"
2017-06-29,CF711,14790,14690,14760,14635,14635,14690,,-100,68,-12,499.41,1200
2017-06-28,CF711,14845,14865,14900,14700,14700,14790,,-55,116,12,857.7,1212
2017-06-27,CF711,14995.00,14850.00,14895.00,14800.00,14800.00,14845.00,,-150.00,52,0,385.94,"1,200"
2017-06-26,CF711,14900.00,15020.00,15030.00,14950.00,14980.00,14995.00,,95.00,62,-4,464.88,"1,200"
2017-06-23,CF711,14980,14900,14975,14875,14975,14900,,-80,412,-144,3069.4,1204
2017-06-22,CF711,14925.00,14995.00,15030.00,14875.00,14875.00,14980.00,,55.00,172,-116,"1,288.35","1,348"
2017-06-21,CF711,14910,14900,15010,14890,14950,14925,,15,176,-148,1313.34,1464
2017-06-20,CF711,14945.00,14955.00,14975.00,14815.00,14950.00,14910.00,,-35.00,100,6,745.44,"1,612"
2017-06-19,CF711,14960.00,14945.00,15020.00,14900.00,15020.00,14945.00,,-15.00,30,2,224.21,"1,606"
2017-01-26,CF711,16040.00,0.00,0.00,0.00,0.00,16035.00,,-5.00,0,0,0.00,48
2017-01-25,CF711,16000.00,16040.00,16040.00,16040.00,16040.00,16040.00,,40.00,2,0,16.04,48
2017-01-24,CF711,15620.00,15740.00,16110.00,15740.00,16020.00,16000.00,,380.00,26,4,208.00,48
2017-01-23,CF711,15570.00,15645.00,15795.00,15550.00,15795.00,15620.00,,50.00,22,0,171.84,44
2017-01-20,CF711,15570.00,0.00,0.00,0.00,0.00,15570.00,,0.00,0,0,0.00,44
2017-01-19,CF711,15390.00,15535.00,15590.00,15535.00,15590.00,15570.00,,180.00,6,-2,46.71,44
2017-01-18,CF711,15485.00,15440.00,15585.00,15330.00,15330.00,15390.00,,-95,14,46,-2,107.73
2017-01-17,CF711,15465.00,15485.00,15485.00,15485.00,15485.00,15485.00,,20.00,2,-2,15.49,48
2017-01-16,CF711,15565.00,15465.00,15465.00,15465.00,15465.00,15465.00,,-100.00,2,-2,15.47,50
2017-01-13,CF711,15600.00,15660.00,15660.00,15500.00,15505.00,15565.00,,-35.00,8,2,62.27,52
2017-01-12,CF711,15635.00,15600.00,15600.00,15600.00,15600.00,15600.00,,-35.00,2,-2,15.60,50
2017-01-11,CF711,15660.00,15700.00,15700.00,15555.00,15650.00,15635.00,,-25.00,24,-2,187.60,52
2017-01-10,CF711,15570.00,15660.00,15660.00,15660.00,15660.00,15660.00,,90.00,2,2,15.66,54
2017-01-09,CF711,15530.00,15550.00,15610.00,15550.00,15610.00,15570.00,,40.00,22,12,171.29,52
2017-01-06,CF711,15530.00,0.00,0.00,0.00,0.00,15530.00,,0.00,0,0,0.00,40
2017-11-14,CF711,"15,020.00",0.00,0.00,0.00,0.00,"15,000.00",,-20,0,-880,0.00,0
2017-11-13,CF711,"15,000.00","15,010.00","15,045.00","15,005.00","15,045.00","15,020.00",,20,576,-400,"4,321.64",880
2017-11-10,CF711,"15,070.00","14,990.00","15,010.00","14,990.00","15,010.00","15,000.00",,-70.00,48,0,360.04,"1,280"
2017-11-09,CF711,"15,000.00","15,070.00","15,070.00","15,070.00","15,070.00","15,070.00",,70.00,8,-8,60.28,"1,280"
2017-11-08,CF711,"15,000.00",0.00,0.00,0.00,0.00,"15,000.00",,0.00,0,0,0.00,"1,288"
2017-11-07,CF711,"14,965.00","14,990.00","15,000.00","14,990.00","15,000.00","15,000.00",,35.00,64,16,479.92,"1,288"
2017-11-06,CF711,"14,990.00","14,965.00","14,965.00","14,965.00","14,965.00","14,965.00",,-25.00,10,0,74.83,"1,272"
2017-11-03,CF711,"15,030.00","15,000.00","15,000.00","14,920.00","14,965.00","14,990.00",,-40.00,454,86,"3,402.59","1,272"
2017-09-08,CF711,15755.00,15605.00,15605.00,15495.00,15495.00,15515.00,,-240.00,10,0,77.59,"1,082"
2017-09-07,CF711,15810.00,15735.00,15795.00,15735.00,15745.00,15755.00,,-55.00,48,32,378.13,"1,082"
2017-09-06,CF711,15705.00,15840.00,15840.00,15790.00,15840.00,15810.00,,105.00,16,0,126.49,"1,050"
2017-09-05,CF711,15670.00,15735.00,15750.00,15600.00,15735.00,15705.00,,35.00,74,-10,581.01,"1,050"
