交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2012-07-31,CF301,18905,18830,19040,18760,19000,18935,,30,239828,314238,2270567.92,-23614
2012-07-30,CF301,19130,19160,19255,18540,18865,18905,,-225,419184,337852,3962760.87,25308
2012-07-27,CF301,19125,19190,19200,19060,19165,19130,,5,147182,312544,1407650.01,-22494
2012-07-26,CF301,19300,19165,19260,19050,19155,19125,,-175,249072,335038,2381726.01,38896
2012-07-25,CF301,19445,19340,19400,19200,19210,19300,,-145,197820,296142,1908821.23,27248
2012-07-24,CF301,19400,19320,19580,19235,19390,19445,,45,161128,268894,1566643.84,-2170
2012-07-23,CF301,19520,19500,19500,19320,19375,19400,,-120,139540,271064,1353615.48,-2092
2012-07-20,CF301,19475,19500,19625,19400,19460,19520,,45,185654,273156,1811826.33,-18554
2012-07-19,CF301,19265,19435,19540,19420,19535,19475,,210,142376,291710,1386261.28,-7724
2012-07-18,CF301,19465,19300,19420,19105,19405,19265,,-200,350130,299434,3372970.31,11784
2012-07-17,CF301,19615,19615,19620,19350,19360,19465,,-150,214776,287650,2090324.48,-5970
2012-07-16,CF301,19455,19605,19685,19550,19570,19615,,160,227198,293620,2228013.09,6684
2012-07-13,CF301,19500,19420,19500,19405,19490,19455,,-45,103130,286936,1003186.87,4478
2012-07-12,CF301,19505,19465,19545,19430,19495,19500,,-5,131394,282458,1280935.17,1360
2012-07-11,CF301,19550,19500,19635,19400,19435,19505,,-45,283760,281098,2767319.17,-18150
2012-07-10,CF301,19460,19440,19610,19425,19500,19550,,90,218548,299248,2136233.13,8522
2012-07-09,CF301,19455,19500,19540,19340,19490,19460,,5,169018,290726,1644531.64,-5494
2012-07-06,CF301,19480,19460,19515,19400,19475,19455,,-25,155836,296220,1515948.46,-2380
2012-07-05,CF301,19455,19420,19550,19380,19540,19480,,25,225838,298600,2199850.46,-2296
2012-07-04,CF301,19515,19565,19575,19360,19415,19455,,-60,258748,300896,2517254.1,12580
2012-07-03,CF301,19335,19430,19620,19375,19515,19515,,180,369272,288316,3602952.87,5886
2012-07-02,CF301,19170,19330,19445,19235,19440,19335,,165,175868,282430,1700396.59,13318
2012-06-29,CF301,19155,19175,19225,19115,19205,19170,,15,104676,269112,1003196.45,-7766
2012-06-28,CF301,19100,19120,19200,19105,19155,19155,,55,97888,276878,937440.31,-2620
2012-06-27,CF301,19195,19095,19145,19060,19095,19100,,-95,106566,279498,1017767.77,3700
2012-06-26,CF301,19180,19230,19285,19085,19140,19195,,15,157074,275798,1507388.9,-5832
2012-06-25,CF301,19180,19000,19265,18980,19210,19180,,0,194044,281630,1860942.37,1546
2012-06-21,CF301,19480,19260,19265,19085,19090,19180,,-300,240516,280084,2306720.99,-1440
2012-06-20,CF301,19420,19535,19595,19410,19450,19480,,60,236838,281524,2306944.59,-846
2012-06-19,CF301,19385,19460,19485,19340,19370,19420,,35,261156,282370,2535589.07,-378
2012-06-18,CF301,19275,19325,19460,19295,19395,19385,,110,264316,282748,2561702.45,11080
2012-06-15,CF301,19105,19200,19400,19155,19280,19275,,170,475728,271668,4584362.4,-746
2012-06-14,CF301,18875,18870,19295,18860,19065,19105,,230,502606,272414,4801032.61,-4730
2012-06-13,CF301,18910,18940,18950,18810,18875,18875,,-35,161552,277144,1524487.55,-198
2012-06-12,CF301,19045,18950,19025,18835,18940,18910,,-135,281760,277342,2664223.37,4750
2012-06-11,CF301,19060,19065,19190,18890,19025,19045,,-35,310070,272592,2952610.01,9684
2012-06-08,CF301,19005,19160,19195,18875,18980,19060,,55,349018,262908,3326436.97,-8448
2012-10-22,CF301,19720,19655,19760,19655,19720,19710,,-10,50532,187506,498014.83,338
2012-10-19,CF301,19780,19750,19795,19655,19675,19720,,-60,62328,187168,614581.19,-13524
2012-10-18,CF301,19605,19775,19845,19710,19820,19780,,175,165892,200692,1640673.3,-13294
2012-10-17,CF301,19500,19640,19660,19555,19630,19605,,105,86912,213986,851895.63,-7478
2012-10-16,CF301,19405,19485,19560,19430,19540,19500,,95,64136,221464,625296.2,-10694
2012-10-15,CF301,19425,19405,19480,19325,19430,19405,,-20,72566,232158,704070.34,7822
2012-10-12,CF301,19490,19400,19485,19360,19435,19425,,-65,61522,224336,597540.48,5036
2012-10-11,CF301,19550,19550,19555,19420,19435,19490,,-60,57334,219300,558686.97,7704
2012-10-10,CF301,19550,19550,19585,19510,19555,19550,,0,50828,211596,496888.51,-436
2012-10-09,CF301,19455,19470,19595,19460,19570,19550,,95,81860,212032,800129.85,5110
2012-10-08,CF301,19295,19380,19550,19365,19440,19455,,160,47728,206922,464295.63,-2288
2012-09-28,CF301,19320,19350,19445,19140,19405,19295,,-25,142910,209210,1378852.8,-9202
2012-09-27,CF301,19475,19350,19400,19270,19295,19320,,-155,108386,218412,1047082.34,-7962
2012-09-26,CF301,19485,19460,19555,19365,19395,19475,,-10,66286,226374,645477.47,-3950
2012-09-25,CF301,19525,19485,19520,19450,19490,19485,,-40,52402,230324,510554.86,-2514
2012-09-24,CF301,19600,19630,19450,19475,19710,19525,,-185,113762,18914302,232838,209694
2012-08-27,CF301,19505,19485,19500,19280,19335,19395,,-110,146298,278010,1418838.77,4694
2012-08-24,CF301,19575,19550,19570,19445,19455,19505,,-70,83722,273316,816451.77,3030
2012-08-23,CF301,19660,19650,19650,19500,19590,19575,,-85,120288,270286,1177267.73,-7318
2012-08-22,CF301,19575,19705,19765,19560,19645,19660,,85,158736,277604,1560205.27,3906
2012-08-21,CF301,19520,19550,19610,19545,19600,19575,,55,106892,273698,1046136.81,-3696
2012-08-20,CF301,19450,19480,19590,19450,19510,19520,,70,164708,277394,1607695.09,1948
2012-08-17,CF301,19450,19465,19495,19410,19435,19450,,0,74956,275446,728956.24,-6420
2012-08-16,CF301,19430,19470,19510,19400,19460,19450,,20,144806,281866,1408394.38,-6378
2012-08-15,CF301,19290,19300,19550,19300,19455,19430,,140,272970,288244,2652050.12,6948
2012-08-14,CF301,19290,19265,19360,19215,19320,19290,,30,163326,281296,1575327.83,9864
2012-08-13,CF301,19380,19280,19320,19250,19275,19290,,-90,107364,271432,1035566.34,-186
2012-08-10,CF301,19355,19360,19435,19330,19395,19380,,25,118618,271618,1149527.38,-3270
2012-08-09,CF301,19345,19330,19400,19305,19380,19355,,10,94050,274888,910269.45,-446
2012-08-08,CF301,19325,19355,19465,19205,19265,19345,,20,189078,275334,1829024.89,-5776
2012-08-07,CF301,19125,19250,19390,19210,19390,19325,,200,210298,281110,2032048.68,-6550
2012-08-06,CF301,18915,19100,19190,19030,19175,19125,,210,152916,287660,1462417.17,-17372
2012-08-03,CF301,18965,18990,18990,18880,18900,18915,,-50,95664,305032,904752.6,-5886
2012-08-02,CF301,18975,18950,19030,18900,18990,18965,,-10,122358,310918,1160341.4,2906
2012-08-01,CF301,18935,18960,19080,18835,19020,18975,,40,172990,308012,1641291.1,-6226
2012-05-11,CF301,20880,20660,20660,20060,20315,20380,,-500,200522,131880,2043273.88,33580
2012-05-10,CF301,20975,20900,20955,20800,20880,20880,,-95,26118,98300,272675.69,1070
2012-05-09,CF301,21110,21060,21080,20910,20915,20975,,-135,26728,97230,280328.52,1464
2012-05-08,CF301,21215,21100,21160,21040,21080,21110,,-105,31122,95766,328455.99,1904
2012-05-07,CF301,21320,21290,21305,21150,21165,21215,,-105,25250,93862,267812.02,1834
2012-05-04,CF301,21325,21270,21370,21270,21355,21320,,-5,17182,92028,183164.15,2638
2012-05-03,CF301,21360,21350,21390,21270,21285,21325,,-35,17140,89390,182739.03,2592
2012-05-02,CF301,21460,21350,21405,21255,21345,21360,,-100,14002,86798,149531.46,2016
2012-04-27,CF301,21525,21540,21550,21415,21425,21460,,-65,24372,84782,261507.69,1204
2012-04-26,CF301,21515,21525,21565,21495,21520,21525,,10,10772,83578,115926.81,288
2012-04-25,CF301,21565,21505,21560,21490,21510,21515,,-50,13048,83290,140367.09,172
2012-04-24,CF301,21640,21650,21490,21540,21660,21565,,-95,31400,574006,83118,1480
2012-04-23,CF301,21720,21740,21580,21585,21710,21660,,-50,23102,511206,81638,-1528
2012-04-20,CF301,21670,21750,21775,21660,21695,21710,,40,26720,83166,290065.08,1656
2012-04-19,CF301,21530,21560,21750,21560,21750,21670,,140,35066,81510,379974.53,7024
2012-04-18,CF301,21555,21555,21570,21480,21535,21530,,-25,15016,74486,161656.46,594
2012-04-17,CF301,21670,21595,21640,21465,21505,21555,,-115,29238,73892,315130.78,-1912
2012-04-16,CF301,21710,21600,21710,21585,21695,21670,,-40,15660,75804,169686.4,1464
2012-06-07,CF301,18785,19085,19090,18920,18995,19005,,220,338986,271356,3220991.47,13562
2012-06-06,CF301,18785,18725,18875,18635,18750,18785,,0,244730,257794,2298430.86,10906
2012-06-05,CF301,18860,18770,18875,18700,18805,18785,,-75,234462,246888,2202101.02,-4580
2012-06-04,CF301,19420,19130,19200,18640,18640,18860,,-560,330358,251468,3115096.03,14242
2012-06-01,CF301,19445,19450,19545,19305,19335,19420,,-110,217708,237226,2113769,16616
2012-05-31,CF301,19510,19365,19500,19320,19455,19445,,-65,114902,220610,1117110.17,-9404
2012-05-30,CF301,19540,19485,19560,19455,19480,19510,,-30,160180,230014,1562618.21,9448
2012-05-29,CF301,19465,19400,19650,19365,19590,19540,,75,248598,220566,2428864.85,-17020
2012-05-28,CF301,19545,19570,19595,19385,19435,19465,,-80,263024,237586,2559979.14,15006
2012-05-25,CF301,19590,19640,19700,19460,19560,19545,,-30,273750,222580,2675118.7,3626
2012-05-24,CF301,19410,19500,19725,19440,19640,19590,,180,359398,218954,3520602.72,-880
2012-05-23,CF301,19950,19450,19560,19200,19535,19410,,-540,439278,219834,4263006.51,9634
2012-05-22,CF301,20085,20000,20055,19820,19845,19950,,-135,194196,210200,1936885.52,14810
2012-05-21,CF301,19800,20000,20165,20000,20075,20085,,285,142668,195390,1432637.14,-3598
2012-05-18,CF301,19620,19630,19975,19555,19900,19800,,280,268482,198988,2657890.87,12602
2012-05-17,CF301,19920,19720,19785,19405,19655,19620,,-265,265740,186386,2606704.9,12308
2012-05-16,CF301,19985,20030,20065,19815,19820,19920,,-165,151368,174078,1507467.23,7368
2012-05-15,CF301,20120,20030,20080,19880,20070,19985,,-50,140598,166710,1404860.48,6840
2012-05-14,CF301,20380,20300,20360,19860,20015,20120,,-260,199428,159870,2006013.63,27990
2012-09-21,CF301,19785,19745,19760,19660,19680,19710,,-75,97090,231414,956764.39,-8854
2012-09-20,CF301,19800,19790,19855,19705,19780,19785,,-15,124766,240268,1234382.88,3180
2012-09-19,CF301,19765,19800,19875,19725,19760,19800,,35,168472,237088,1667719.19,-10290
2012-09-18,CF301,19555,19550,19985,19515,19810,19765,,210,476044,247378,4704990.05,25414
2012-09-17,CF301,19510,19610,19610,19465,19580,19555,,45,78334,221964,765973.81,-9904
2012-09-14,CF301,19460,19490,19620,19450,19490,19510,,50,67940,231868,662733.78,-8042
2012-09-13,CF301,19560,19485,19500,19425,19440,19460,,-100,75144,239910,731178.26,-3186
2012-09-12,CF301,19590,19550,19595,19505,19575,19560,,-30,45750,243096,447410.31,-332
2012-09-11,CF301,19630,19645,19655,19550,19585,19590,,-40,64148,243428,628369.68,-514
2012-09-10,CF301,19595,19615,19660,19605,19625,19630,,35,64146,243942,629572.64,-1968
2012-09-07,CF301,19555,19570,19645,19525,19595,19595,,40,77652,245910,760737.78,1610
2012-09-06,CF301,19540,19580,19585,19510,19570,19555,,15,51020,244300,498853.48,-2456
2012-09-05,CF301,19555,19485,19590,19475,19585,19540,,-15,64882,246756,633865.31,-7862
2012-09-04,CF301,19610,19620,19635,19505,19540,19555,,-55,84614,254618,827389,1050
2012-09-03,CF301,19545,19480,19670,19480,19660,19610,,65,117848,253568,1155493.11,3908
2012-08-31,CF301,19495,19510,19595,19485,19525,19545,,50,90586,249660,885265.29,-8260
2012-08-30,CF301,19445,19495,19545,19450,19540,19495,,50,87516,257920,853159.63,-2804
2012-08-29,CF301,19365,19355,19520,19340,19460,19445,,80,137376,260724,1335684.15,-3750
2012-08-28,CF301,19395,19335,19395,19320,19365,19365,,-30,80320,264474,777648.31,-13536
2012-11-16,CF301,19560,19590,19635,19590,19610,19610,,50,16158,120796,158441.81,-3418
2012-11-15,CF301,19485,19510,19595,19510,19570,19560,,75,17756,124214,173643.71,-7818
2012-11-14,CF301,19510,19500,19510,19460,19505,19485,,-25,7234,132032,70473.21,-1874
2012-11-13,CF301,19500,19560,19560,19490,19520,19510,,10,7120,133906,69463.65,-1316
2012-11-12,CF301,19525,19500,19535,19465,19505,19500,,-25,10990,135222,107164.27,-2204
2012-11-09,CF301,19570,19530,19570,19480,19535,19525,,-45,23194,137426,226431.74,-132
2012-11-08,CF301,19540,19500,19595,19500,19580,19570,,30,20364,137558,199281.12,-8148
2012-11-07,CF301,19510,19530,19575,19500,19560,19540,,30,14906,145706,145638.08,-4314
2012-11-06,CF301,19455,19470,19550,19440,19550,19510,,55,14700,150020,143412.26,-4056
2012-11-05,CF301,19530,19475,19505,19400,19445,19455,,-75,44552,154076,433338.74,-6398
2012-11-02,CF301,19560,19570,19590,19500,19505,19530,,-30,24148,160474,235797.15,-2932
2012-11-01,CF301,19525,19500,19685,19465,19560,19560,,35,30572,163406,299015.12,-3762
2012-10-31,CF301,19560,19540,19550,19510,19525,19525,,-35,19528,167168,190660.38,2232
2012-10-30,CF301,19525,19510,19600,19505,19595,19560,,35,18306,164936,179043.91,-3754
2012-10-29,CF301,19575,19560,19570,19500,19500,19525,,-50,23874,168690,233047.04,698
2012-10-26,CF301,19590,19575,19615,19540,19560,19575,,-15,36830,167992,360481.01,-5664
2012-10-25,CF301,19575,19550,19630,19530,19585,19590,,15,36002,173656,352622.58,-7710
2012-10-24,CF301,19660,19570,19630,19535,19575,19575,,-85,40376,181366,395139.07,-516
2012-10-23,CF301,19710,19720,19725,19610,19620,19660,,-50,31022,181882,304976.51,-5624
2012-01-20,CF301,21480,21525,21590,21490,21585,21535,,55,272,1212,2928.95,94
2012-01-19,CF301,21565,21505,21550,21450,21475,21480,,-85,302,1118,3243.75,250
2012-01-18,CF301,21605,21595,21630,21470,21485,21565,,-40,940,868,10134.72,868
2012-12-14,CF301,19930,20080,20320,20060,20320,20285,,355,11372,55078,115323.18,-1146
2012-12-13,CF301,19925,19880,20100,19855,20090,19930,,5,18228,56224,181657.66,-11134
2012-12-12,CF301,19775,19780,20025,19780,20015,19925,,150,14276,67358,142229.54,-1530
2012-12-11,CF301,19785,19800,19805,19735,19750,19775,,-10,12318,68888,121793.04,-3294
2012-12-10,CF301,19735,19730,19825,19730,19795,19785,,50,11732,72182,116059.13,-7276
2012-12-07,CF301,19700,19755,19690,19755,19690,19735,,45,4336,20660126,79458,-3326
2012-12-06,CF301,19700,19700,19670,19700,19695,19690,,-5,2428,20655790,82784,-1740
2012-12-05,CF301,19720,19765,19665,19690,19750,19695,,-55,8886,20653362,84524,-2764
2012-12-04,CF301,19780,19780,19730,19760,19815,19750,,-65,2036,20644476,87288,-426
2012-12-03,CF301,19850,19830,19870,19760,19765,19815,,-35,8102,87714,80266.91,-3184
2012-11-30,CF301,19860,19860,19865,19830,19830,19850,,-10,12168,90898,120759.53,-6336
2012-11-29,CF301,19860,19875,19840,19855,19845,19860,,15,7272,20622170,97234,-4644
2012-11-28,CF301,19845,19830,19865,19830,19835,19845,,0,5206,101878,51662.61,-2572
2012-11-27,CF301,19805,19810,19870,19805,19850,19845,,40,8232,104450,81667.78,-1202
2012-11-26,CF301,19795,19780,19840,19765,19830,19805,,10,13746,105652,136115.16,-4956
2012-11-23,CF301,19780,19790,19820,19770,19820,19795,,15,8044,110608,79621.07,3564
2012-11-22,CF301,19825,19825,19750,19780,19780,19780,,0,8348,20579670,107044,-1428
2012-11-21,CF301,19685,19730,19830,19720,19800,19780,,95,21350,108472,211138.54,-4926
2012-11-20,CF301,19645,19635,19730,19605,19725,19685,,40,15510,113398,152639.53,-3772
2012-11-19,CF301,19610,19620,19660,19610,19645,19645,,35,11176,117170,109766.57,-3626
2012-03-16,CF301,21560,21500,21600,21400,21450,21485,,-75,8028,40438,86242.29,2212
2012-03-15,CF301,21665,21555,21610,21510,21525,21560,,-105,4488,38226,48384.92,530
2012-03-14,CF301,21715,21735,21815,21530,21580,21665,,-50,8576,37696,92891.97,574
2012-03-13,CF301,21680,21655,21765,21650,21720,21715,,35,3524,37122,38259.1,1042
2012-03-12,CF301,21780,21765,21780,21620,21665,21680,,-100,6760,36080,73277.11,526
2012-03-09,CF301,21705,21700,21890,21695,21850,21780,,75,6556,35554,71392.21,778
2012-03-08,CF301,21750,21685,21735,21665,21700,21705,,-45,3074,34776,33359.28,64
2012-03-07,CF301,22035,21830,21845,21650,21660,21750,,-285,6866,34712,74669.72,-344
2012-03-06,CF301,21985,22120,22180,21895,21970,22035,,50,10748,35056,118422.4,3798
2012-03-05,CF301,21850,21750,22165,21700,22065,21985,,135,13174,31258,144799.55,2596
2012-03-02,CF301,21950,21890,21905,21760,21840,21850,,-100,5406,28662,59062.04,600
2012-03-01,CF301,21950,21880,22060,21855,21855,21950,,0,7666,28062,84140.55,1548
2012-02-29,CF301,21850,21960,22000,21880,22000,21950,,100,3162,26514,34706.19,1042
2012-02-28,CF301,21715,21740,21930,21710,21930,21850,,135,3884,25472,42432.98,990
2012-02-27,CF301,21660,21680,21780,21660,21720,21715,,55,4842,24482,52571.37,1300
