交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2017-11-02,CF801,"15,010.00","14,965.00","15,075.00","14,965.00","15,050.00","15,030.00",,20,85,-4,"639,194.95","213,706"
2017-11-01,CF801,"14,950.00","14,955.00","15,060.00","14,940.00","14,975.00","15,010.00",,60,78966,-6,"592,567.92","217,734"
2017-10-31,CF801,"14,995.00","14,985.00","14,990.00","14,910.00","14,970.00","14,950.00",,-45,67550,2,"504,857.70","223,990"
2017-10-30,CF801,"14,955.00","14,965.00","15,080.00","14,900.00","14,965.00","14,995.00",,40.00,99356,8,"744,965.74","221,696"
2017-10-27,CF801,"15,055.00","15,000.00","15,010.00","14,920.00","14,950.00","14,955.00",,-100,84,4,"628,295.34","221,688"
2017-10-26,CF801,"15,045.00","15,060.00","15,120.00","15,015.00","15,025.00","15,055.00",,10,88426,912,"665,627.31","217,520"
2017-10-25,CF801,"15,040.00","15,050.00","15,070.00","15,025.00","15,050.00","15,045.00",,5,64592,-920,"485,936.51","216,608"
2017-10-24,CF801,"14,945.00","15,000.00","15,095.00","14,995.00","15,035.00","15,040.00",,95.00,126970,-11,"954,921.01","217,528"
2017-10-23,CF801,"14,950.00","14,975.00","15,020.00","14,850.00","14,960.00","14,945.00",,-5,112,-1,"841,042.77","229,340"
2017-10-20,CF801,"15,075.00","15,010.00","15,035.00","14,890.00","14,970.00","14,950.00",,-125,156274,20,"1,168,285.04","231,048"
2017-10-19,CF801,"15,190.00","15,165.00","15,170.00","15,020.00","15,030.00","15,075.00",,-115.00,100464,11,"757,316.16","210,370"
2017-10-18,CF801,"15,175.00","15,170.00","15,250.00","15,130.00","15,155.00","15,190.00",,15.00,81,386,"615,728.70","198,652"
2017-10-17,CF801,"15,170.00","15,175.00","15,215.00","15,125.00","15,185.00","15,175.00",,5.00,63,-4,"479,442.70","198,266"
2017-10-16,CF801,"15,060.00","15,080.00","15,265.00","15,060.00","15,220.00","15,170.00",,110.00,130,-10,"987,773.09","202,356"
2017-10-13,CF801,15050.00,15040.00,15125.00,15010.00,15065.00,15060.00,,10,104060,3538,783678.83,212912
2017-10-12,CF801,15125.00,15130.00,15135.00,14995.00,15045.00,15050.00,,-75,100620,7906,757193.78,209374
2017-10-11,CF801,15125.00,15160.00,15180.00,15070.00,15120.00,15125.00,,0,75782,2358,573109.68,201468
2017-10-10,CF801,15040.00,15090.00,15190.00,15060.00,15095.00,15125.00,,85.00,78,4,"597,140.57","199,110"
2017-10-09,CF801,15150.00,15155.00,15175.00,14955.00,15080.00,15040.00,,-110.00,91,2,"688,639.24","194,592"
2007-03-07,CF801,14560,14565,14610,14520,14590,14565,,5,304,536,2214.07,
2007-03-06,CF801,14565,14625,14625,14530,14575,14560,,-5,84,464,611.61,
2007-03-05,CF801,14600,14625,14625,14550,14550,14565,,-35,116,452,844.83,
2007-03-02,CF801,14560,14550,14650,14550,14585,14600,,40,100,436,730.09,
2007-03-01,CF801,14590,14580,14580,14550,14550,14560,,-30,24,396,174.72,
2007-02-28,CF801,14630,14600,14610,14575,14580,14590,,-40,18,386,131.33,
2007-02-27,CF801,14665,14620,14650,14620,14620,14630,,-35,12,378,87.78,
2007-02-26,CF801,14635,14690,14690,14650,14680,14665,,30,208,372,1525.14,
2007-02-16,CF801,14585,14615,14650,14610,14640,14635,,50,34,372,248.81,
2007-02-15,CF801,14610,14550,14610,14550,14610,14585,,-25,10,352,72.93,
2007-02-14,CF801,14585,14600,14625,14590,14625,14610,,25,20,356,146.11,
2007-02-13,CF801,14600,14600,14600,14560,14560,14585,,-15,12,346,87.52,
2007-02-12,CF801,14605,14600,14640,14580,14595,14600,,-5,50,340,365.05,
2007-02-09,CF801,14665,14650,14650,14600,14600,14605,,-60,34,324,248.3,
2007-05-25,CF801,13945,14030,14050,14000,14015,14015,,70,288,3066,2018.45,
2007-05-24,CF801,14080,13970,13995,13920,13925,13945,,-135,332,2972,2314.85,
2007-05-23,CF801,14120,14080,14140,14030,14050,14080,,-40,294,2866,2069.55,
2007-05-22,CF801,13955,14005,14200,14005,14145,14120,,165,728,2834,5140.53,
2007-05-21,CF801,13815,13850,14000,13830,13995,13955,,140,444,2704,3097.99,
2007-05-18,CF801,13810,13900,13900,13785,13800,13815,,5,228,2664,1575.07,
2007-05-17,CF801,13605,13720,13925,13710,13845,13810,,205,292,2534,2016.19,
2007-05-16,CF801,13595,13560,13640,13560,13630,13605,,10,480,2492,3265.02,
2007-05-15,CF801,13755,13715,13715,13555,13560,13595,,-160,598,2234,4065.53,
2007-05-14,CF801,13830,13765,13780,13745,13745,13755,,-75,334,1922,2296.72,
2007-05-11,CF801,13925,13950,13950,13800,13805,13830,,-95,242,1732,1673.33,
2007-05-10,CF801,13975,13955,13975,13875,13885,13925,,-50,392,1598,2729.44,
2007-05-09,CF801,14000,13940,13990,13940,13980,13975,,-25,284,1390,1984.37,
2007-05-08,CF801,14120,14100,14100,13960,13960,14000,,-120,236,1220,1651.89,
2017-09-29,CF801,15210.00,15120.00,15230.00,15080.00,15100.00,15150.00,,-60.00,104,-6,"795,205.29","191,660"
2017-09-28,CF801,15435.00,15340.00,15375.00,15060.00,15090.00,15210.00,,-225.00,204,-12,"1,557,440.78","198,576"
2017-09-27,CF801,15570.00,15570.00,15595.00,15330.00,15340.00,15435.00,,-135.00,174,-13,"1,349,497.67","211,462"
2017-09-26,CF801,15455.00,15480.00,15650.00,15450.00,15615.00,15570.00,,115,152206,9594,"1,184,828.57",224532
2017-09-25,CF801,15440.00,15430.00,15520.00,15385.00,15475.00,15455.00,,15,114742,-4,"886,771.66",214938
2017-09-22,CF801,15510.00,15435.00,15550.00,15355.00,15405.00,15440.00,,-70,175936,-5106,1358055.51,218980
2017-09-21,CF801,15510.00,15600.00,15615.00,15415.00,15415.00,15510.00,,0,131572,-12702,1020224.25,224086
2017-09-20,CF801,15390.00,15375.00,15640.00,15360.00,15630.00,15510.00,,120,172004,2822,1333873.20,236788
2017-09-19,CF801,15320.00,15445.00,15445.00,15350.00,15360.00,15390.00,,70,80,-5,"621,714.65","233,966"
2017-09-18,CF801,15360.00,15335.00,15385.00,15205.00,15335.00,15320.00,,-40,115654,-9,"885,913.93","239,090"
2017-09-15,CF801,15470.00,15370.00,15435.00,15300.00,15305.00,15360.00,,-110.00,129,-15,"994,989.34","248,128"
2017-09-14,CF801,15535.00,15500.00,15550.00,15360.00,15360.00,15470.00,,-65.00,154,-11,"1,195,075.44","264,110"
2017-09-13,CF801,15620.00,15615.00,15730.00,15405.00,15500.00,15535.00,,-85.00,235,-15,"1,827,922.19","275,924"
2017-09-12,CF801,15690.00,15535.00,15675.00,15500.00,15640.00,15620.00,,-70.00,121,1,"951,296.92","291,190"
2017-09-11,CF801,15665.00,15590.00,15820.00,15560.00,15630.00,15690.00,,25.00,300,-3,"2,354,853.96","289,660"
2007-09-14,CF801,14430,14480,14640,14385,14495,14545,,115,54896,51094,39923729,
2007-09-13,CF801,14415,14500,14500,14370,14450,14430,,15,30336,48206,21889892,
2007-09-12,CF801,14255,14480,14520,14295,14390,14415,,160,51760,45516,37301102,
2007-09-11,CF801,14025,14025,14450,13985,14425,14255,,230,52404,46564,37351824,
2007-09-10,CF801,14115,14145,14145,13950,13980,14025,,-90,21946,41286,15389392,
2007-09-07,CF801,14080,14050,14165,14035,14155,14115,,35,17242,41842,12168782,
2007-09-06,CF801,14245,14180,14180,14025,14050,14080,,-165,27210,41548,19156680,
2007-09-05,CF801,14330,14300,14300,14205,14225,14245,,-85,16366,42386,11656691,
2007-09-04,CF801,14460,14420,14420,14260,14265,14330,,-130,23070,43496,16532258,
2007-09-03,CF801,14385,14520,14560,14410,14415,14460,,75,16348,44248,11821463,
2007-08-31,CF801,14235,14380,14440,14340,14420,14385,,150,20570,42542,14795379,
2007-08-30,CF801,14210,14205,14295,14165,14265,14235,,25,19498,39468,13876852,
2007-08-29,CF801,14215,14230,14255,14180,14195,14210,,-5,9920,37384,7047870,
2007-08-28,CF801,14220,14185,14280,14155,14180,14215,,-5,18298,36436,13006778,
2007-08-27,CF801,14380,14290,14305,14155,14260,14220,,-160,21178,36572,15056916,
2007-08-24,CF801,14445,14490,14490,14300,14310,14380,,-65,18006,33938,129442.56,
2007-08-23,CF801,14450,14480,14490,14415,14440,14445,,-5,9118,35052,6585636,
2007-08-22,CF801,14570,14490,14495,14400,14465,14450,,-120,15252,35412,11020318,
2007-08-21,CF801,14485,14560,14630,14505,14510,14570,,85,13622,36120,9924914,
2007-08-20,CF801,14480,14500,14530,14440,14495,14485,,5,17214,35138,124669.44,
2017-12-27,CF801,"14,670.00","14,710.00","14,785.00","14,675.00","14,710.00","14,710.00",,40,5344,-2,"39,311.33","32,178"
2017-12-26,CF801,"14,690.00","14,700.00","14,700.00","14,615.00","14,690.00","14,670.00",,-20,5150,-2,"37,781.46","34,372"
2017-12-25,CF801,"14,690.00","14,735.00","14,735.00","14,660.00","14,705.00","14,690.00",,0,7792,-3,"57,249.44","36,720"
2017-12-22,CF801,"14,655.00","14,660.00","14,735.00","14,645.00","14,670.00","14,690.00",,35,3748,-1,"27,527.46","39,888"
2017-12-21,CF801,"14,650.00","14,615.00","14,705.00","14,615.00","14,635.00","14,655.00",,5,3932,-1,"28,833.74","41,156"
2017-12-20,CF801,"14,800.00","14,785.00","14,785.00","14,585.00","14,615.00","14,650.00",,-150,7862,-2,"57,594.28","42,970"
2017-12-19,CF801,"14,930.00","14,915.00","14,925.00","14,655.00","14,695.00","14,800.00",,-130,9572,-1,"70,836.60","45,358"
2017-12-18,CF801,"14,890.00","14,930.00","14,960.00","14,885.00","14,920.00","14,930.00",,40,7688,-1,"57,383.97","47,032"
2017-12-15,CF801,"14,900.00","14,870.00","14,940.00","14,855.00","14,880.00","14,890.00",,-10,6382,-2,"47,521.09","48,948"
2017-12-14,CF801,"14,910.00","14,880.00","14,955.00","14,825.00","14,830.00","14,900.00",,-10,7934,-2,"59,107.17","51,502"
2017-12-13,CF801,"14,955.00","14,940.00","14,970.00","14,870.00","14,890.00","14,910.00",,-45,7182,-2,"53,546.81","54,080"
2017-12-12,CF801,"15,050.00","15,010.00","15,010.00","14,925.00","14,925.00","14,955.00",,-95,9266,-2,"69,295.10","56,592"
2017-12-11,CF801,"15,150.00","15,195.00","15,195.00","14,935.00","14,985.00","15,050.00",,-100,23588,-10,"177,494.90","59,462"
2017-12-08,CF801,"15,110.00","15,050.00","15,200.00","15,025.00","15,180.00","15,150.00",,40,26182,1,"198,340.47","70,034"
2017-12-07,CF801,"15,155.00","15,130.00","15,195.00","15,020.00","15,050.00","15,110.00",,-45,25712,-7,"194,242.55","68,606"
2017-12-06,CF801,"15,150.00","15,165.00","15,205.00","15,110.00","15,145.00","15,155.00",,5,23468,-2,"177,847.18","76,554"
2017-12-05,CF801,"15,190.00","15,185.00","15,205.00","15,120.00","15,165.00","15,150.00",,-40,14652,-2,"110,997.38","79,498"
2017-12-04,CF801,"15,155.00","15,195.00","15,215.00","15,150.00","15,200.00","15,190.00",,35,34116,-6,"259,081.91","82,420"
2017-12-01,CF801,"15,075.00","15,115.00","15,210.00","15,080.00","15,195.00","15,155.00",,80,58766,-7,"445,244.87","89,046"
2007-06-22,CF801,14535,14550,14550,14370,14390,14430,,-105,2832,10868,2043549,
2007-06-21,CF801,14415,14550,14580,14500,14540,14535,,120,2686,9768,1952309,
2007-06-20,CF801,14485,14430,14475,14365,14380,14415,,-70,1272,9002,9167.4,
2007-06-19,CF801,14505,14450,14520,14445,14500,14485,,-20,1478,9214,1070562,
2007-06-18,CF801,14450,14520,14550,14475,14490,14505,,55,2016,9030,1462167,
2007-06-15,CF801,14370,14460,14475,14420,14440,14450,,80,1810,8340,13077.52,
2007-06-14,CF801,14315,14375,14435,14340,14365,14370,,55,1206,7568,866587,
