交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2010-02-05,CF009,15905,16060,15900,16045,16080,15995,,-85,133156,6256705,139094,-4364
2010-02-04,CF009,15980,16160,15950,16115,16010,16080,,70,204924,6123549,143458,6914
2010-02-03,CF009,15970,16100,15900,16065,15825,16010,,185,185656,5918625,136544,98
2010-02-02,CF009,15965,15930,15975,15705,15780,15825,,-140,188676,136446,1493101.37,2026
2010-02-01,CF009,15920,16045,15870,15995,15900,15965,,65,213226,5544293,134420,5892
2010-01-29,CF009,15900,15975,15790,15880,15870,15900,,30,14075,5331067,128528,-5428
2010-01-28,CF009,15815,15950,15750,15905,15970,15870,,-100,177812,5316992,133956,-6146
2010-01-27,CF009,15975,16040,15895,15970,16060,15970,,-90,156246,5139180,140102,-8868
2010-01-26,CF009,16300,16155,16185,15905,15910,16060,,-240,270770,148970,2174109.08,-6674
2010-01-25,CF009,16280,16375,16200,16300,16235,16300,,65,221070,4712164,155644,2184
2010-01-22,CF009,16120,16365,16030,16305,16135,16235,,100,361360,4491094,153460,10108
2010-01-21,CF009,16030,16275,15925,16240,16165,16135,,-30,322974,4129734,143352,1290
2010-01-20,CF009,16400,16400,16020,16035,16375,16165,,-210,196942,3806760,142062,12016
2010-01-19,CF009,16315,16400,16445,16315,16360,16375,,60,78302,130046,641143.05,-532
2010-01-18,CF009,16200,16385,16200,16350,16400,16315,,-85,117020,3531516,130578,-3994
2010-01-15,CF009,16535,16400,16520,16300,16325,16400,,-135,207254,134572,1699645.49,-2808
2010-01-14,CF009,16575,16625,16450,16465,16535,16535,,0,163302,3207242,137380,-1792
2010-01-13,CF009,16590,16640,16385,16425,16935,16535,,-400,234868,3043940,139172,-17152
2010-01-12,CF009,16950,17045,16780,16875,16900,16935,,35,284682,2809072,156324,3280
2010-07-23,CF009,18440,18505,18635,18475,18615,18570,,130,51262,111746,476020.45,-564
2010-07-22,CF009,18455,18475,18400,18460,18385,18440,,55,54600,19700471,112310,-590
2010-07-21,CF009,18380,18355,18445,18330,18405,18385,,5,62404,112900,573722.71,-414
2010-07-20,CF009,18330,18370,18435,18295,18390,18380,,50,74972,113314,688954.02,5346
2010-07-19,CF009,18085,18200,18410,18175,18390,18330,,245,80188,107968,734835.9,7522
2010-07-16,CF009,17990,18180,17970,18175,17930,18035,,155,46518,19428307,100446,6218
2010-07-15,CF009,17975,17880,17995,17860,17955,17930,,-45,30202,94228,270742.85,-1488
2010-07-14,CF009,17970,17975,18030,17930,17950,17975,,5,44094,95716,396318.15,-5670
2010-07-13,CF009,18140,18120,18120,17880,17900,17970,,-170,65572,101386,589140.47,422
2010-07-12,CF009,18150,18220,18220,18080,18100,18140,,-10,39622,100964,359387.64,-1430
2010-07-09,CF009,18200,18150,18190,18110,18150,18150,,-50,35860,102394,325458.29,-2264
2010-07-08,CF009,18180,18250,18270,18170,18180,18200,,20,25678,104658,233662.53,-4194
2010-07-07,CF009,18230,18180,18205,18150,18185,18180,,-50,26738,108852,243015.58,454
2010-07-06,CF009,18175,18265,18170,18240,18205,18230,,25,29636,19114023,108398,536
2010-07-05,CF009,18250,18220,18245,18160,18195,18205,,-45,48306,107862,439654.6,-7308
2010-07-02,CF009,18295,18295,18305,18175,18275,18250,,-45,48056,115170,438478.92,224
2010-07-01,CF009,18300,18305,18350,18230,18245,18295,,-5,85816,114946,785021.77,-3882
2010-06-30,CF009,18220,18220,18390,18185,18380,18300,,80,79134,118828,724115.69,10516
2010-06-29,CF009,18115,18080,18295,18070,18245,18220,,105,65942,108312,600812.01,6876
2010-06-28,CF009,18115,18145,18145,18070,18130,18115,,0,22200,101436,201052.3,-1432
2010-06-25,CF009,18115,18130,18195,18050,18115,18115,,0,59696,102868,540648.9,-3382
2010-06-24,CF009,18035,18105,18135,18075,18120,18115,,80,37900,106250,343245.82,-1090
2010-06-23,CF009,17955,18100,17955,18075,17940,18035,,95,63926,18637337,107340,-1858
2010-06-22,CF009,17955,17920,17985,17885,17975,17940,,-15,74528,109198,668574.49,-1930
2010-06-21,CF009,18060,18030,18085,17825,17935,17955,,-105,148334,111128,1331735.87,3978
2010-06-18,CF009,18080,18020,18150,17985,17995,18060,,-20,104884,107150,947014.86,7100
2010-06-17,CF009,17975,18110,18115,18025,18045,18080,,105,43626,100050,394395.46,-4378
2010-06-11,CF009,18110,18115,18125,17880,17960,17975,,-135,83790,104428,753148.55,-10972
2010-06-10,CF009,17990,18150,18200,18050,18095,18110,,120,67690,115400,612944.65,-8840
2010-06-09,CF009,17975,18035,17945,18025,17900,17990,,90,100768,18144559,124240,-14232
2010-06-08,CF009,17700,17810,17960,17810,17915,17900,,200,110756,138472,991218.49,-2130
2010-06-07,CF009,17775,17670,17760,17610,17740,17700,,-75,187412,140602,1658768.36,1654
2010-06-04,CF009,17695,17725,17845,17680,17825,17775,,80,104804,138948,931472.78,-1178
