交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2015-06-09,CF605,13665,13685,13725,13650,13655,13670,,5,1716,5364,11730.42,1104
2015-06-08,CF605,13700,13700,13720,13640,13670,13665,,-35,1450,4260,9905.76,804
2015-06-05,CF605,13725,13705,13725,13670,13720,13700,,-25,312,3456,2136.94,44
2015-06-05,CF605,13700,13700,13720,13640,13670,13665,,-35,1450,4260,9905.76,804
2015-06-04,CF605,13745,13735,13790,13700,13705,13725,,-20,434,3412,2978.24,56
2015-06-03,CF605,13735,13750,13770,13715,13745,13745,,10,406,3356,2790.37,152
2015-06-02,CF605,13775,13805,13820,13680,13720,13735,,-40,1016,3204,6976.35,646
2015-06-01,CF605,13750,13800,13825,13705,13800,13775,,25,456,2558,3140.63,192
2015-05-29,CF605,13725,13725,13785,13695,13770,13750,,25,402,2366,2763.67,10
2015-05-28,CF605,13720,13735,13770,13690,13720,13725,,5,518,2356,3555.23,-4
2015-05-27,CF605,13730,13730,13755,13700,13715,13720,,-10,162,2360,1111.27,34
2015-05-26,CF605,13665,13685,13790,13655,13710,13730,,65,440,2326,3020.97,114
2015-05-25,CF605,13710,13680,13720,13650,13680,13665,,-45,314,2212,2145.53,-10
2015-05-22,CF605,13690,13735,13740,13700,13715,13710,,20,304,2222,2084.27,132
2015-05-21,CF605,13665,13630,13725,13630,13720,13690,,25,988,2090,6763.67,576
2015-05-20,CF605,13785,13745,13775,13625,13640,13665,,-120,1304,1514,8910.44,984
2015-05-19,CF605,13820,13825,13850,13745,13790,13785,,-35,322,530,2219.7,236
2015-05-18,CF605,13795,13715,13905,13715,13870,13820,,25,344,294,2377.43,294
2015-07-07,CF605,13510,13465,13495,13345,13365,13430,,-80,4834,22078,32462.37,-1342
2015-11-23,CF605,11870.00,11895.00,11945.00,11815.00,11835.00,11875.00,,5,143904,-4820,"854,565.63",353700
2015-11-20,CF605,11900.00,11840.00,11955.00,11800.00,11925.00,11870.00,,-30,235810,-1980,1399440.83,358520
2015-12-18,CF605,11405.00,11345.00,11430.00,11340.00,11390.00,11390.00,,-15,94966,-10966,540883.71,350574
2015-12-17,CF605,11445.00,11445.00,11450.00,11350.00,11365.00,11405.00,,-40,134604,5176,767611.11,361540
2015-12-16,CF605,11405.00,11390.00,11480.00,11380.00,11450.00,11445.00,,40,89494,-16158,512143.28,356364
2015-12-15,CF605,11395.00,11405.00,11445.00,11365.00,11400.00,11405.00,,10,88234,530,503164.28,372522
2015-12-14,CF605,11355.00,11410.00,11465.00,11325.00,11440.00,11395.00,,40,124044,-12252,706835.75,371992
2015-11-27,CF605,11835.00,11780.00,11790.00,11650.00,11660.00,11720.00,,-115,285928,15148,1675687.06,375664
2015-11-26,CF605,11830.00,11810.00,11900.00,11765.00,11795.00,11835.00,,5,236582,3606,1399950.52,360516
2015-11-25,CF605,11825.00,11865.00,11920.00,11755.00,11820.00,11830.00,,5,235078,3736,1390263.40,356910
2015-11-24,CF605,"11,875.00","11,820.00","11,890.00","11,745.00","11,875.00","11,825.00",,-50.00,186162,-526,"1,100,559.41","353,174"
2015-12-09,CF605,11505.00,11420.00,11495.00,11400.00,11465.00,11460.00,,-45,88370,-240,506436.04,388080
2015-12-08,CF605,11605.00,11630.00,11630.00,11420.00,11440.00,11505.00,,-100,163726,24174,941968.88,388320
2015-12-07,CF605,11570.00,11580.00,11635.00,11550.00,11635.00,11605.00,,35,88130,-3560,511448.44,364146
2005-06-14,CF605,15030,14750,15100,14750,15100,14925,,-105,80,4,597,
2005-06-13,CF605,14985,14920,15280,14900,15050,15030,,45,22,4,165.32,
2005-06-10,CF605,15010,14800,15170,14800,15170,14985,,-25,4,8,29.97,
2005-06-09,CF605,14950,14850,15185,14850,15000,15010,,60,8,6,60.04,
2005-06-08,CF605,14900,14950,14950,14950,14950,14950,,50,4,2,29.9,
2005-06-07,CF605,14900,14900,14900,14900,14900,14900,,0,4,2,29.8,
2005-06-06,CF605,14700,14900,14900,14900,14900,14900,,200,4,2,29.8,
2005-06-03,CF605,14600,14700,14700,14700,14700,14700,,100,2,2,14.7,
2005-06-02,CF605,14600,0,0,0,0,14600,,0,0,0,0,
2005-06-01,CF605,14600,0,0,0,0,14600,,0,0,0,0,
2015-11-19,CF605,"11,970.00","11,980.00","11,995.00","11,840.00","11,845.00","11,900.00",,-70.00,221,21,"1,315,626.08","360,500"
2015-11-18,CF605,11885.00,11995.00,12010.00,11925.00,11970.00,11970.00,,85,164210,-5060,982919.60,338608
2015-11-17,CF605,11865.00,11860.00,12000.00,11785.00,11995.00,11885.00,,20,210744,13922,1252378.72,343668
2015-11-16,CF605,11850.00,11860.00,11920.00,11820.00,11845.00,11865.00,,15,142746,9664,846760.44,329746
2015-11-13,CF605,11750.00,11750.00,11930.00,11750.00,11865.00,11850.00,,100,146244,894,866380.33,320082
2015-11-12,CF605,11750.00,11740.00,11800.00,11685.00,11765.00,11750.00,,0,121978,1108,716499.01,319188
2015-11-11,CF605,11760.00,11795.00,11830.00,11710.00,11745.00,11750.00,,-10,90620,-6694,532351.73,318080
2015-11-10,CF605,11710.00,11735.00,11800.00,11710.00,11790.00,11760.00,,50,93874,-256,551903.32,324774
2015-11-09,CF605,11640.00,11675.00,11765.00,11640.00,11735.00,11710.00,,70,114370,-11944,669505.15,325030
2015-11-06,CF605,11715,11675,11695,11590,11625,11640,,-75,153022,6474,890599.31,336974
2015-11-05,CF605,11755,11755,11805,11650,11685,11715,,-40,124160,20168,727410.65,330500
2015-11-04,CF605,11780,11750,11810,11700,11770,11755,,-25,116014,-8224,681980.78,310332
2015-11-03,CF605,11780,11805,11825,11730,11750,11780,,0,87540,-7540,515632.71,318556
2015-10-29,CF605,11725,11690,11725,11570,11700,11645,,-80,180254,329044,8846,1049471.01
2015-12-01,CF605,11675.00,11660.00,11855.00,11435.00,11690.00,11630.00,,-45,524312,-33326,3048532.47,344888
2015-11-30,CF605,11720.00,11645.00,11710.00,11635.00,11670.00,11675.00,,-45,140292,2550,818956.74,378214
2006-03-14,CF605,14675,14600,14650,14565,14630,14600,,-75,14774,25996,10785293,
2006-03-13,CF605,14750,14750,14750,14660,14675,14675,,-75,10612,26126,7787722,
2006-03-10,CF605,14715,14790,14850,14630,14670,14750,,35,10770,26148,7943745,
2006-03-09,CF605,14665,14665,14790,14650,14785,14715,,50,12120,26750,8917314,
2006-03-08,CF605,14665,14705,14705,14635,14655,14665,,0,11178,27924,8197655,
