交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2011-09-30,CF209,20350,20755,20350,20745,20265,20515,,250,5124,47122,18720,220
2011-09-29,CF209,20300,20355,20160,20245,20615,20265,,-350,3414,41998,18500,264
2011-09-28,CF209,20730,20730,20535,20590,20725,20615,,-110,1238,38584,18236,-78
2011-09-27,CF209,20860,20860,20860,20620,20715,20725,,-135,2002,18314,20747.28,-28
2011-09-26,CF209,21040,20905,21100,20480,20620,20860,,-180,3108,18342,32419.88,42
2011-09-23,CF209,21465,21030,21205,20675,20865,21040,,-425,5634,18300,59262.78,94
2011-09-22,CF209,21640,21500,21555,21360,21370,21465,,-175,4648,18206,49882.26,2054
2011-09-21,CF209,21605,21605,21715,21580,21655,21640,,35,7132,16152,77160.84,5018
2011-09-20,CF209,21815,21625,21675,21545,21645,21605,,-210,9010,11134,97337.93,6064
2011-09-19,CF209,22010,21895,21915,21775,21830,21815,,-195,3254,5070,35494.85,2814
2011-09-16,CF209,22045,22085,22235,21900,21960,22010,,-35,2558,2256,28151.32,2256
2012-01-20,CF209,21790,21840,21900,21775,21885,21850,,60,15264,87424,166748.19,1666
2012-01-19,CF209,21835,21805,21870,21750,21795,21790,,-45,13192,85758,143731.91,-372
2012-01-18,CF209,21740,21800,21920,21780,21820,21835,,95,25170,86130,274804.95,1166
2012-01-17,CF209,21640,21655,21795,21640,21785,21740,,100,24222,84964,263278.21,1748
2012-01-16,CF209,21705,21570,21680,21560,21620,21640,,-65,15122,83216,163605.94,-1198
2012-01-13,CF209,21810,21740,21815,21605,21620,21705,,-105,33390,84414,362358.93,-1112
2012-01-12,CF209,21640,21655,21940,21655,21820,21810,,170,39966,85526,435828.9,3870
2012-01-11,CF209,21550,21615,21705,21540,21685,21640,,90,25930,81656,280567.45,3270
2012-01-10,CF209,21485,21530,21610,21485,21590,21550,,65,25310,78386,272705.01,3812
2012-01-09,CF209,21380,21545,21355,21500,21325,21485,,160,33130,815242,74574,5216
2012-01-06,CF209,21285,21255,21380,21255,21360,21325,,40,16770,69358,178818.39,562
2012-01-05,CF209,21280,21255,21340,21230,21300,21285,,5,22696,68796,241527.85,1476
2012-01-04,CF209,21195,21300,21380,21170,21265,21280,,85,27900,67320,296849,6454
2011-12-30,CF209,21130,21265,21290,21120,21130,21195,,65,16918,60866,179301.81,-552
2011-12-29,CF209,21270,20490,21325,20490,21240,21130,,-140,40332,61418,426145.91,1924
2011-12-28,CF209,21270,21265,21305,21240,21270,21270,,0,16692,59494,177515.3,4410
2011-12-27,CF209,21125,21100,21315,21100,21235,21270,,145,45076,55084,479328.72,8070
2011-12-26,CF209,21230,21230,21080,21110,21180,21125,,-55,12916,595728,47014,-1638
2012-02-17,CF209,21770,21735,21745,21650,21705,21705,,-65,78220,205710,848934.17,-732
2012-02-16,CF209,22150,22080,22100,21580,21635,21770,,-380,167088,206442,1818926.78,-3148
2012-02-15,CF209,22150,22145,22210,22090,22090,22150,,0,70990,209590,786278.34,8268
2012-02-14,CF209,22235,22225,22235,22060,22110,22150,,-85,76008,201322,841753.73,6272
2012-02-13,CF209,22205,22215,22315,22160,22205,22235,,30,73682,195050,819104.78,186
2012-02-10,CF209,22410,22160,22290,22080,22185,22205,,-205,136002,194864,1509853.11,18176
2012-02-09,CF209,22475,22460,22540,22285,22315,22410,,-65,126340,176688,1415628.88,-7200
2012-02-08,CF209,22535,22460,22570,22345,22545,22475,,-60,151224,183888,1699446.14,10456
2012-02-07,CF209,22465,22520,22730,22330,22410,22535,,70,273382,173432,3080078.34,3906
2012-02-06,CF209,22135,22230,22545,22230,22545,22465,,330,120732,169526,1356258.13,30568
2012-02-03,CF209,22080,22100,22190,22060,22170,22135,,55,51772,138958,572941.77,13844
2012-02-02,CF209,22125,22150,22170,22025,22090,22080,,-45,43966,125114,485394.76,5034
2012-02-01,CF209,22075,22110,22210,22065,22120,22125,,50,56514,120080,625252.74,9912
2012-01-31,CF209,21975,21970,22165,21945,22135,22075,,100,61942,110168,683758.67,17442
2012-01-30,CF209,21850,21870,22070,21835,21995,21975,,125,28270,92726,310632.14,5302
2011-11-01,CF209,20515,20395,20490,20395,20425,20450,,-65,3370,31078,34456.52,194
2011-10-31,CF209,20705,20640,20655,20370,20435,20515,,-190,4144,30884,42508.29,-204
2011-10-28,CF209,20470,20770,20825,20555,20630,20705,,235,9098,31088,94197.66,474
2011-10-27,CF209,20485,20425,20515,20425,20475,20470,,-15,2396,30614,24524.96,-4
2011-10-26,CF209,20445,20415,20550,20390,20440,20485,,40,5040,30618,51621.68,266
2011-10-25,CF209,20435,20600,20600,20325,20390,20445,,10,9038,30352,92397.56,-466
2011-10-24,CF209,20145,20255,20770,20180,20460,20435,,290,6932,30818,70819.65,516
2011-10-21,CF209,20125,20000,20295,20000,20210,20145,,20,2362,30302,23793.93,298
2011-10-20,CF209,20350,20275,20275,20050,20115,20125,,-225,4528,30004,45557.46,394
2011-10-19,CF209,20360,20405,20300,20330,20380,20350,,-30,2206,82406,29610,114
2011-10-18,CF209,20465,20485,20300,20320,20585,20380,,-205,4020,80200,29496,-8
2011-10-17,CF209,20635,20690,20505,20520,20665,20585,,-80,4712,76180,29504,-28
2011-10-14,CF209,20665,20705,20620,20660,20625,20665,,40,1852,71468,29532,156
2011-10-13,CF209,20735,20580,20690,20575,20625,20625,,-110,8468,29376,87317.02,4938
2011-10-12,CF209,20705,20650,20860,20495,20785,20735,,30,5876,24438,60912.49,1736
2011-10-11,CF209,20780,20790,20635,20635,20685,20705,,20,5384,55272,22702,2620
2011-10-10,CF209,20515,20700,20805,20620,20630,20685,,170,2766,20082,28604,1362
2012-03-16,CF209,21340,21280,21375,21200,21260,21295,,-45,125926,323722,1340735.2,-7920
2012-03-15,CF209,21500,21320,21395,21280,21290,21340,,-160,119308,331642,1272882.62,3612
2012-03-14,CF209,21590,21615,21695,21340,21385,21500,,-90,241292,328030,2594083.9,16340
2012-03-13,CF209,21580,21550,21635,21530,21590,21590,,10,101178,311690,1092246.58,-3506
2012-03-12,CF209,21730,21670,21705,21505,21560,21580,,-150,199694,315196,2154537.3,9768
2012-03-09,CF209,21685,21660,21820,21645,21755,21730,,45,152334,305428,1654999.57,4926
2012-03-08,CF209,21725,21650,21720,21635,21655,21685,,-40,107216,300502,1162421.9,-8320
2012-03-07,CF209,22035,21820,21830,21615,21625,21725,,-310,215812,308822,2344159.24,-20728
2012-03-06,CF209,21940,22120,22160,21885,21980,22035,,95,328210,329550,3615957.44,21078
2012-03-05,CF209,21760,21670,22110,21610,22040,21940,,180,353494,308472,3877812.28,40072
2012-03-02,CF209,21865,21810,21830,21665,21760,21760,,-105,115430,268400,1255865.64,8444
2012-03-01,CF209,21840,21820,21965,21760,21785,21865,,25,169110,259956,1848989.28,-13268
2012-02-29,CF209,21750,21845,21915,21750,21910,21840,,90,126854,273224,1385115.72,5764
2012-02-28,CF209,21635,21650,21830,21630,21815,21750,,115,125388,267460,1363720.65,10462
2012-02-27,CF209,21575,21590,21700,21570,21625,21635,,60,105856,256998,1145117.72,7752
2012-02-24,CF209,21650,21565,21650,21480,21520,21575,,-75,94972,249246,1024521.36,9932
2012-02-23,CF209,21780,21650,21715,21605,21625,21650,,-130,92156,239314,997620.16,6872
2012-02-22,CF209,21625,21750,21840,21705,21770,21780,,155,125832,232442,1370434.01,12628
2012-02-21,CF209,21690,21620,21740,21470,21715,21625,,-65,133734,219814,1446051.6,9310
2012-02-20,CF209,21705,21735,21795,21600,21635,21690,,-15,83980,210504,910659.92,4794
2011-11-28,CF209,20310,20440,20505,20395,20440,20465,,155,9148,33666,93605.19,-2934
2011-11-25,CF209,20280,20260,20490,20100,20430,20310,,30,15482,36600,157208.24,626
2011-11-24,CF209,20360,20335,20350,20220,20290,20280,,-80,5802,35974,58831.5,1442
2011-11-23,CF209,20385,20360,20385,20330,20360,20360,,-25,4090,34532,41639.73,608
2011-11-22,CF209,20505,20400,20460,20310,20340,20385,,-120,7354,33924,74948.55,2318
2011-11-21,CF209,20590,20500,20545,20485,20485,20505,,-85,3714,31606,38080.24,-14
2011-11-18,CF209,20645,20500,20640,20500,20605,20590,,-55,3956,31620,40726.1,-1582
2011-11-17,CF209,20640,20670,20680,20600,20670,20645,,5,3334,33202,34411.12,-456
2011-11-16,CF209,20575,20695,20700,20585,20645,20640,,65,7360,33658,75946.58,998
2011-11-15,CF209,20585,20570,20595,20550,20580,20575,,-10,3298,32660,33925.92,-162
2011-11-14,CF209,20500,20500,20675,20500,20610,20585,,85,5328,32822,54841.64,798
2011-11-11,CF209,20445,20400,20530,20400,20490,20500,,55,2912,32024,29849.91,270
2011-11-10,CF209,20545,20460,20500,20405,20420,20445,,-100,4010,31754,40992.88,-958
2011-11-09,CF209,20500,20545,20630,20495,20530,20545,,45,2956,32712,30367.57,186
2011-11-08,CF209,20525,20510,20535,20475,20510,20500,,-25,2122,32526,21752.17,194
2011-11-07,CF209,20560,20585,20585,20470,20535,20525,,-35,2786,32332,28587.97,-372
2011-11-04,CF209,20450,20480,20600,20480,20590,20560,,110,2924,32704,30058.05,454
2011-11-03,CF209,20425,20460,20490,20420,20435,20450,,25,2864,32250,29283.56,-454
2011-11-02,CF209,20450,20295,20555,20250,20520,20425,,-25,7170,32704,73219.45,1626
2011-12-23,CF209,21130,21150,21220,21140,21180,21180,,50,12908,48652,136683.47,-194
2011-12-22,CF209,21160,21150,21160,21085,21135,21130,,-30,9192,48846,97105.01,-544
2011-12-21,CF209,21175,21185,21225,21120,21140,21160,,-15,12538,49390,132659.67,-46
2011-12-20,CF209,21110,21120,21245,21075,21170,21175,,65,25870,49436,273870.62,1204
2011-12-19,CF209,21140,21130,21200,21035,21080,21110,,-30,23522,48232,248255.56,2768
2011-12-16,CF209,20870,20895,21275,20890,21185,21140,,270,55946,45464,591294.73,8588
2011-12-15,CF209,20925,20820,20910,20820,20860,20870,,-55,11458,36876,119553.87,364
2011-12-14,CF209,20875,20895,20985,20880,20945,20925,,50,8334,36512,87197.48,-682
2011-12-13,CF209,20985,20840,20935,20835,20860,20875,,-110,11782,37194,122975.88,1760
2011-12-12,CF209,21045,20970,21030,20955,20990,20985,,-60,8782,35434,92147.6,-1210
2011-12-09,CF209,21015,20960,21115,20950,21015,21045,,30,16036,36644,168743.73,-450
2011-12-08,CF209,21080,21020,21075,20955,21035,21015,,-65,13524,37094,142112.61,0
2011-12-07,CF209,21090,21150,21175,21030,21090,21080,,-10,15058,37094,158711.54,-1402
2011-12-06,CF209,20970,21180,20910,1085,20945,21090,,145,46382,357862,38496,4580
2011-12-05,CF209,20795,20860,21015,20820,20990,20945,,150,21454,33916,224663,3308
2011-12-02,CF209,20790,20700,20875,20700,20815,20795,,5,18646,30608,193871.69,676
2011-12-01,CF209,20520,20600,21000,20565,20750,20790,,270,31898,29932,331596.58,-1480
2011-11-30,CF209,20500,20570,20575,20485,20495,20520,,20,6634,31412,68060.58,-1114
2011-11-29,CF209,20465,20430,20530,20430,20525,20500,,35,6924,32526,70972.05,-1140
2012-04-13,CF209,21395,21455,21490,21375,21380,21415,,20,112308,348540,1202634.99,3190
2012-04-12,CF209,21380,21390,21430,21360,21400,21395,,15,97202,345350,1039779.31,7488
2012-04-11,CF209,21390,21350,21440,21320,21350,21380,,-10,144740,337862,1547304.57,1784
2012-04-10,CF209,21255,21260,21465,21255,21430,21390,,135,181656,336078,1942699.96,5968
