交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2010-09-17,CF109,20000,20095,19855,20075,19715,19985,,270,4650,11084,4252,1192
2010-09-16,CF109,19835,19780,19810,19640,19770,19715,,-120,2504,3060,24685.97,444
2010-09-15,CF109,19560,19785,20015,19645,19850,19835,,275,3930,2616,38977.4,0
2020-12-01,CF109,14785.00,14825.00,14885.00,14640.00,14740.00,14695.00,,-90.00,14347,722,107625.89,40018.00
2020-11-30,CF109,14715.00,14840.00,14870.00,14715.00,14820.00,14785.00,,70.00,5491,1118,40593.86,39296.00
2020-11-27,CF109,14625.00,14605.00,14825.00,14585.00,14825.00,14715.00,,90.00,3459,-334,25448.42,38178.00
2020-11-26,CF109,14690.00,14680.00,14705.00,14540.00,14580.00,14625.00,,-65.00,13596,-6669,96581.90,38512.00
2020-11-25,CF109,14700.00,14720.00,14750.00,14635.00,14670.00,14690.00,,-10.00,13049,8743,95849.84,45181.00
2020-11-24,CF109,14525.00,14580.00,14815.00,14570.00,14790.00,14700.00,,175.00,7458,3838,54825.26,36438.00
2020-11-23,CF109,14465.00,14460.00,14580.00,14390.00,14555.00,14525.00,,60.00,3367,486,24452.84,32600.00
2020-11-20,CF109,14365.00,14425.00,14550.00,14355.00,14380.00,14465.00,,100.00,4298,103,31085.94,32114.00
2020-11-19,CF109,14295.00,14305.00,14445.00,14290.00,14440.00,14365.00,,70.00,2068,681,14851.79,32011.00
2020-11-18,CF109,14305.00,14260.00,14360.00,14240.00,14285.00,14295.00,,-10.00,1981,344,14157.86,31330.00
2020-11-17,CF109,14245.00,14360.00,14420.00,14235.00,14275.00,14305.00,,60,2530,782,18096.75,30986.00
2020-11-16,CF109,14355.00,14300.00,14355.00,14155.00,14310.00,14245.00,,-110.00,2074,515,14774.20,30204.00
2020-11-13,CF109,14395.00,14420.00,14470.00,14300.00,14315.00,14355.00,,-40.00,2461,332,17661.22,29689.00
