交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2008-05-16,CF809,14625,14670,14690,14630,14665,14665,,40,2190,12798,1605662,
2008-05-15,CF809,14720,14645,14645,14610,14625,14625,,-95,2604,12394,19044.25,
2008-05-14,CF809,14790,14730,14760,14680,14690,14720,,-70,3448,12716,2537380,
2008-05-13,CF809,14815,14830,14860,14760,14775,14790,,-25,2624,12954,19406.76,
2008-05-12,CF809,14790,14820,14845,14780,14820,14815,,25,4030,12732,2985258,
2008-05-09,CF809,14835,14860,14865,14745,14750,14790,,-45,2068,11214,1529495,
2008-05-08,CF809,14875,14870,14900,14805,14830,14835,,-40,1596,10878,11837.64,
2008-05-07,CF809,14795,14835,14920,14830,14855,14875,,80,4250,10692,3161071,
2008-05-06,CF809,14785,14735,14815,14735,14810,14795,,10,2920,9324,2159761,
2008-05-05,CF809,14725,14740,14815,14730,14765,14785,,60,1400,8128,10349.8,
2008-04-30,CF809,14775,14700,14750,14685,14740,14725,,-50,994,8092,7317.12,
2008-04-29,CF809,14800,14795,14870,14730,14750,14775,,-25,1098,8126,8112.6,
2008-04-28,CF809,14740,14740,14820,14740,14800,14800,,60,1404,8132,1038895,
2008-04-25,CF809,14835,14750,14770,14700,14740,14740,,-95,1708,8232,1258861,
2008-04-24,CF809,14725,14710,14905,14680,14880,14835,,110,3458,8616,25650.8,
2008-04-23,CF809,14755,14730,14780,14700,14730,14725,,-30,2298,9016,16920.16,
2008-04-22,CF809,14965,14815,14875,14680,14685,14755,,-210,3326,8608,2453759,
2008-04-21,CF809,15090,15045,15095,14870,14895,14965,,-125,2406,8262,1800113,
2008-03-24,CF809,15400,15520,15540,15430,15430,15465,,65,1138,6824,879929,
2008-03-21,CF809,15280,15330,15480,15330,15450,15400,,120,1902,6714,14647.44,
2008-03-20,CF809,15540,15075,15365,15075,15355,15280,,-260,3188,6348,2435820,
2008-03-19,CF809,15475,15595,15595,15510,15540,15540,,65,1042,6452,8097.6,
2008-03-18,CF809,15940,15480,15550,15460,15460,15475,,-465,3710,6716,2870979,
2008-03-17,CF809,16090,15990,16020,15855,15860,15940,,-150,2626,7918,2093090,
2008-03-14,CF809,16180,16170,16170,16040,16120,16090,,-90,2586,7964,20804.16,
2008-03-13,CF809,16305,16200,16235,16090,16180,16180,,-125,2242,8472,18140.36,
2008-03-12,CF809,16295,16470,16550,16045,16120,16305,,10,5016,8346,4088862,
2008-03-11,CF809,16110,16145,16380,16145,16355,16295,,185,4172,8244,3399089,
2008-03-10,CF809,16330,15975,16210,15970,16145,16110,,-220,6012,8280,4843181,
2008-03-07,CF809,16755,16250,16425,16250,16250,16330,,-425,5318,7354,4342213,
2008-03-06,CF809,17020,16770,16905,16620,16645,16755,,-265,5176,7534,4336090,
2008-03-05,CF809,16950,16990,17295,16675,16770,17020,,70,12942,6630,11012737,
2008-03-04,CF809,16255,16900,16990,16600,16990,16950,,695,7060,5756,5983203,
2008-03-03,CF809,15905,15990,16385,15990,16385,16255,,350,2504,4194,2034902,
2008-02-29,CF809,15790,15800,15955,15800,15935,15905,,115,1180,3742,938523,
2008-02-28,CF809,15880,15855,15855,15750,15800,15790,,-90,280,3260,2210.75,
2008-02-27,CF809,15865,15850,15930,15830,15870,15880,,15,640,3270,5081.15,
2008-04-18,CF809,15195,15105,15120,15050,15080,15090,,-105,2374,8476,1790974,
2008-04-17,CF809,15260,15195,15230,15145,15145,15195,,-65,2358,8268,17914.32,
2008-04-16,CF809,15200,15220,15300,15220,15295,15260,,60,3252,8636,2481269,
2008-04-15,CF809,15120,15195,15240,15150,15220,15200,,80,2004,7212,1522814,
2008-04-14,CF809,15080,15060,15170,15040,15155,15120,,40,1664,7058,12581.36,
2008-04-11,CF809,15155,15150,15150,15010,15085,15080,,-75,1882,6620,14188.68,
2008-04-10,CF809,15120,15190,15200,15130,15155,15155,,35,1044,6446,791217,
2008-04-09,CF809,15175,15100,15170,15070,15125,15120,,-55,1044,6256,789301,
2008-04-08,CF809,15125,15205,15240,15115,15130,15175,,50,742,6228,5629.6,
2008-04-07,CF809,15195,15180,15250,15075,15180,15125,,-70,2090,6128,1580494,
2008-04-03,CF809,15265,15250,15260,15160,15160,15195,,-70,578,5998,4392.01,
2008-04-02,CF809,15205,15230,15310,15205,15240,15265,,60,1114,6056,8501.74,
2008-04-01,CF809,15400,15265,15305,15085,15150,15205,,-195,3288,5910,2499649,
2008-03-31,CF809,15290,15255,15500,15255,15495,15400,,110,2120,6234,1632657,
2008-03-28,CF809,15325,15105,15335,15105,15270,15290,,-35,1052,6636,8042.44,
2008-03-27,CF809,15485,15400,15400,15280,15280,15325,,-160,1164,6590,8919.02,
2008-03-26,CF809,15485,15525,15525,15435,15435,15485,,0,798,6786,6177.68,
2008-03-25,CF809,15465,15550,15575,15430,15500,15485,,20,1416,6710,10963.16,
2007-12-28,CF809,15590,15580,15615,15490,15580,15550,,-40,214,1312,1663.61,
2007-12-27,CF809,15655,15625,15690,15550,15580,15590,,-65,172,1384,1340.66,
2007-12-26,CF809,15605,15635,15715,15630,15640,15655,,50,72,1464,563.52,
2007-12-25,CF809,15640,15590,15620,15580,15620,15605,,-35,88,1428,686.69,
2007-12-24,CF809,15595,15610,15710,15600,15630,15640,,45,316,1470,2471,
2007-12-21,CF809,15610,15575,15630,15540,15595,15595,,-15,106,1464,826.51,
2007-12-20,CF809,15555,15620,15640,15590,15600,15610,,55,214,1460,1670.41,
2007-12-19,CF809,15570,15560,15625,15505,15625,15555,,-15,124,1408,964.51,
2007-12-18,CF809,15520,15590,15590,15510,15530,15570,,50,312,1362,2428.69,
2007-12-17,CF809,15345,15440,15600,15440,15585,15520,,175,328,1316,2545.17,
2007-12-14,CF809,15390,15340,15375,15320,15375,15345,,-45,50,1282,383.57,
2007-12-13,CF809,15335,15435,15435,15355,15375,15390,,55,94,1270,723.35,
2007-12-12,CF809,15405,15335,15350,15320,15350,15335,,-70,26,1256,199.36,
2007-12-11,CF809,15400,15410,15430,15380,15400,15405,,5,94,1256,724,
2007-12-10,CF809,15370,15400,15430,15370,15390,15400,,30,218,1226,1678.75,
2007-12-07,CF809,15325,15420,15420,15330,15400,15370,,45,166,1164,1275.83,
2007-12-06,CF809,15370,15560,15560,15295,15335,15325,,-45,146,1156,1118.78,
2008-02-26,CF809,15900,16010,16010,15745,15795,15865,,-35,670,3104,5315.54,
2008-02-25,CF809,15890,15900,15980,15820,15860,15900,,10,690,3048,548571,
2008-02-22,CF809,15755,15900,15945,15835,15890,15890,,135,856,2986,6800.12,
2008-02-21,CF809,15735,15780,15830,15710,15740,15755,,20,964,2622,759491,
2008-02-20,CF809,15625,15720,15810,15640,15720,15735,,110,838,2412,659371,
2008-02-19,CF809,15630,15650,15680,15600,15645,15625,,-5,382,2202,2984.14,
2008-02-18,CF809,15610,15530,15710,15530,15675,15630,,20,678,2144,529893,
2008-02-15,CF809,15535,15515,15690,15515,15615,15610,,75,414,1890,3231.77,
2008-02-14,CF809,15420,15460,15580,15455,15565,15535,,115,274,1718,2128.58,
2008-02-13,CF809,15490,15410,15440,15380,15435,15420,,-70,142,1520,1094.85,
2008-02-05,CF809,15480,15490,15510,15450,15500,15490,,10,298,1502,2307.69,
2008-02-04,CF809,15420,15460,15510,15450,15465,15480,,60,336,1318,2600.99,
2008-02-01,CF809,15405,15415,15430,15400,15420,15420,,15,102,1298,786.3,
2008-01-31,CF809,15390,15405,15405,15380,15405,15405,,15,46,1340,354.29,
2008-09-05,CF809,12940,12940,12980,12940,12970,12970,,30,300,4696,1944.59,32
2008-09-04,CF809,12910,12910,12995,12910,12995,12940,,30,678,4664,4382.1,-126
2008-09-03,CF809,12900,12915,12920,12900,12900,12910,,10,880,4790,5680.67,14
2008-09-02,CF809,12890,12880,12905,12850,12900,12900,,10,580,4776,3740.37,52
2008-09-01,CF809,12910,12835,12900,12835,12895,12890,,-20,1102,4724,7107.35,-502
2008-08-29,CF809,12990,12880,12950,12880,12885,12910,,-80,584,5226,3781.62,-164
2008-08-28,CF809,13040,13020,13045,12955,12990,12990,,-50,544,5390,3536.3,-106
2008-08-27,CF809,13095,13030,13100,13000,13030,13040,,-55,718,5496,4690.98,-152
2008-08-26,CF809,13150,13150,13050,13050,13140,13095,,-45,536,316828,5648,122
2008-08-25,CF809,13155,13150,13150,13100,13130,13140,,-15,442,5526,2905.19,-222
2008-08-22,CF809,13140,13200,13200,13140,13155,13155,,15,594,5748,3905.38,-338
2008-08-21,CF809,13125,13155,13120,13145,13155,13140,,-15,736,315256,6086,-300
2008-08-20,CF809,13170,13200,13120,13120,13155,13155,,0,874,314520,6386,66
2008-08-19,CF809,13160,13185,13050,13155,13145,13155,,10,1098,313646,6320,230
2008-08-18,CF809,13125,13160,13125,13145,13145,13145,,0,930,312548,6090,-80
2008-08-15,CF809,13145,13180,13125,13130,13205,13145,,-60,1476,311618,6170,-314
2008-08-14,CF809,13215,13225,13180,13200,13160,13205,,45,790,310142,6484,-374
2008-08-13,CF809,13135,13240,13135,13200,13160,13160,,0,1182,309352,6858,-452
2008-08-12,CF809,13155,13180,13140,13145,13155,13160,,5,1722,308170,7310,-912
2008-08-11,CF809,12860,13300,12855,13170,13325,13155,,-170,1436,306448,8222,-178
2007-10-11,CF809,15985,15920,15980,15870,15980,15930,,-55,76,586,605.32,
2007-10-10,CF809,15735,15900,16060,15850,15895,15985,,250,256,598,2045.97,
2007-10-09,CF809,15665,15800,15855,15695,15800,15735,,70,106,496,834.06,
2007-10-08,CF809,15475,15360,15750,15360,15740,15665,,190,54,456,422.89,
2007-09-28,CF809,15470,15475,15540,15450,15480,15475,,5,26,436,201.15,
2007-09-27,CF809,15515,15490,15555,15430,15450,15470,,-45,100,450,773.42,
2007-09-26,CF809,15535,15470,15580,15430,15515,15515,,-20,100,508,775.83,
2007-09-25,CF809,15585,15600,15625,15470,15525,15535,,-50,574,524,4459.12,
2007-09-24,CF809,15365,15520,15630,15520,15625,15585,,220,140,298,1091.12,
2007-09-21,CF809,15390,15440,15440,15270,15380,15365,,-25,100,256,768.31,
2007-09-20,CF809,15570,15480,15480,15335,15350,15390,,-180,168,234,1292.7,
2007-09-19,CF809,15600,15650,15650,15505,15505,15570,,-30,52,198,404.82,
2007-09-18,CF809,15485,15750,15750,15565,15585,15600,,115,226,210,1762.74,
2007-09-17,CF809,15300,15485,15500,15480,15480,15485,,185,10,10,77.44,
2017-09-29,CF809,15560.00,15500.00,15550.00,15430.00,15450.00,15490.00,,-70.00,382,2,"2,958.29","1,100"
2017-09-28,CF809,15690.00,15690.00,15690.00,15430.00,15450.00,15560.00,,-130.00,478,308,"3,719.40","1,098"
2017-09-27,CF809,15790.00,15800.00,15825.00,15650.00,15655.00,15690.00,,-100.00,502,104,"3,937.85",790
2017-09-26,CF809,15680.00,15690.00,15880.00,15690.00,15855.00,15790.00,,110,164,14,"1,294.65",686
2017-09-25,CF809,15690.00,15635.00,15745.00,15605.00,15725.00,15680.00,,-10,120,20,940.81,672
2017-09-22,CF809,15765.00,15680.00,15780.00,15610.00,15655.00,15690.00,,-75,160,68,1255.01,652
2017-09-21,CF809,15795.00,15850.00,15850.00,15640.00,15640.00,15765.00,,-30,202,66,1592.39,584
2017-09-20,CF809,15665.00,15765.00,15845.00,15735.00,15830.00,15795.00,,130,234,64,1847.93,518
2017-09-19,CF809,15585.00,15650.00,15690.00,15625.00,15625.00,15665.00,,80,52,16,407.29,454
2017-09-18,CF809,15600.00,15590.00,15650.00,15475.00,15590.00,15585.00,,-15,396,240,"3,085.62",438
2017-09-15,CF809,15610.00,15450.00,15760.00,15450.00,15555.00,15600.00,,-10.00,240,198,"1,872.02",198
2008-06-13,CF809,14325,14270,14270,14195,14250,14230,,-95,1926,20778,13705.2,
2008-06-12,CF809,14240,14350,14400,14250,14250,14325,,85,5470,20550,39177.59,
2008-06-11,CF809,14335,14330,14330,14175,14225,14240,,-95,3522,19588,25075.09,
2008-06-10,CF809,14320,14335,14360,14320,14335,14335,,15,2148,18780,15395.93,
2008-06-06,CF809,14305,14335,14345,14305,14320,14320,,15,1976,18550,14149.89,
2008-06-05,CF809,14270,14280,14340,14275,14305,14305,,35,2084,18268,14906.41,
2008-05-30,CF809,14495,14445,14465,14420,14425,14440,,-55,1930,16856,1393373,
2008-05-29,CF809,14485,14415,14540,14415,14480,14495,,10,2406,16484,1743870,
2008-05-28,CF809,14685,14500,14530,14450,14475,14485,,-200,5854,16450,4239731,
2008-05-27,CF809,14665,14640,14715,14640,14665,14685,,20,2040,15492,1497665,
2008-05-26,CF809,14785,14670,14740,14620,14670,14665,,-120,3848,15540,2821987,
2008-05-23,CF809,14825,14810,14850,14685,14700,14785,,-40,8804,15776,65086.5,
2008-05-22,CF809,14695,14710,14965,14695,14900,14825,,130,6850,14620,5076709,
2008-05-21,CF809,14720,14700,14720,14680,14690,14695,,-25,2108,12312,1549061,
2008-05-20,CF809,14715,14695,14745,14690,14730,14720,,5,3170,12944,2333014,
2008-05-19,CF809,14665,14750,14760,14695,14705,14715,,50,2858,12744,2102843,
2007-12-05,CF809,15385,15420,15420,15335,15365,15370,,-15,84,1138,645.48,
2007-12-04,CF809,15415,15380,15400,15380,15385,15385,,-30,54,1088,415.36,
2007-12-03,CF809,15480,15350,15450,15350,15425,15415,,-65,272,1060,2096.36,
2007-11-30,CF809,15585,15490,15525,15450,15510,15480,,-105,214,1002,1656.18,
2007-11-29,CF809,15515,15615,15625,15550,15550,15585,,70,56,972,436.39,
2007-11-28,CF809,15540,15490,15545,15490,15530,15515,,-25,72,940,558.48,
2007-11-27,CF809,15630,15420,15620,15420,15535,15540,,-90,120,928,932.54,
2007-11-26,CF809,15565,15600,15705,15575,15660,15630,,65,122,924,953.57,
2007-11-23,CF809,15550,15520,15610,15520,15590,15565,,15,58,868,451.4,
2007-11-22,CF809,15585,15490,15610,15490,15585,15550,,-35,32,852,248.83,
2007-11-21,CF809,15480,15595,15600,15505,15555,15585,,105,174,846,1355.69,
2007-11-20,CF809,15540,15475,15545,15445,15540,15480,,-60,480,700,3714.76,
2007-11-19,CF809,15445,15500,15600,15500,15575,15540,,95,122,704,948.01,
2007-11-16,CF809,15550,15405,15500,15405,15480,15445,,-105,130,684,1003.89,
2007-11-15,CF809,15650,15635,15635,15500,15545,15550,,-100,108,708,839.83,
2007-11-14,CF809,15615,15610,15705,15600,15655,15650,,35,76,726,594.77,
2007-11-13,CF809,15845,15670,15900,15590,15605,15615,,-230,226,750,1764.66,
2007-11-12,CF809,15885,15860,15905,15800,15800,15845,,-40,88,916,697.18,
2007-11-09,CF809,15945,15910,15910,15870,15870,15885,,-60,74,914,587.71,
2017-12-27,CF809,"15,290.00","15,360.00","15,440.00","15,295.00","15,335.00","15,340.00",,50,6404,1,"49,119.76","33,208"
2017-12-26,CF809,"15,305.00","15,330.00","15,340.00","15,220.00","15,320.00","15,290.00",,-15,3326,564,"25,430.82","31,820"
2017-12-25,CF809,"15,265.00","15,300.00","15,350.00","15,250.00","15,350.00","15,305.00",,40,5174,378,"39,589.39","31,256"
2017-12-22,CF809,"15,210.00","15,240.00","15,310.00","15,220.00","15,265.00","15,265.00",,55,4254,484,"32,473.74","30,878"
2017-12-21,CF809,"15,205.00","15,130.00","15,260.00","15,130.00","15,220.00","15,210.00",,5,4094,846,"31,130.05","30,394"
2017-12-20,CF809,"15,360.00","15,290.00","15,315.00","15,120.00","15,145.00","15,205.00",,-155,12496,3,"95,008.60","29,548"
2017-12-19,CF809,"15,505.00","15,495.00","15,495.00","15,250.00","15,265.00","15,360.00",,-145,6136,2,"47,118.91","26,030"
2017-12-18,CF809,"15,440.00","15,445.00","15,555.00","15,445.00","15,500.00","15,505.00",,65,4354,1,"33,749.88","23,980"
2017-12-15,CF809,"15,450.00","15,395.00","15,495.00","15,395.00","15,425.00","15,440.00",,-10,2224,-86,"17,168.18","22,750"
2017-12-14,CF809,"15,455.00","15,460.00","15,530.00","15,355.00","15,375.00","15,450.00",,-5,2796,78,"21,601.42","22,836"
2017-12-13,CF809,"15,495.00","15,510.00","15,520.00","15,395.00","15,435.00","15,455.00",,-40,2122,702,"16,395.76","22,758"
2017-12-12,CF809,"15,590.00","15,565.00","15,565.00","15,455.00","15,460.00","15,495.00",,-95,5222,1,"40,462.39","22,056"
2017-12-11,CF809,"15,750.00","15,785.00","15,785.00","15,510.00","15,525.00","15,590.00",,-160,11442,7,"89,195.21","20,406"
2017-12-08,CF809,"15,660.00","15,620.00","15,810.00","15,600.00","15,790.00","15,750.00",,90,3070,864,"24,178.35","13,022"
2017-12-07,CF809,"15,730.00","15,725.00","15,780.00","15,575.00","15,635.00","15,660.00",,-70,3644,740,"28,533.69","12,158"
2017-12-06,CF809,"15,695.00","15,720.00","15,790.00","15,625.00","15,730.00","15,730.00",,35,2594,414,"20,400.92","11,418"
2017-12-05,CF809,"15,750.00","15,760.00","15,760.00","15,655.00","15,700.00","15,695.00",,-55,1554,-64,"12,193.49","11,004"
2017-12-04,CF809,"15,660.00","15,720.00","15,795.00","15,685.00","15,745.00","15,750.00",,90,3020,962,"23,781.49","11,068"
2017-12-01,CF809,"15,555.00","15,655.00","15,750.00","15,605.00","15,750.00","15,660.00",,105,4772,-386,"37,363.74","10,106"
2007-11-08,CF809,15960,15950,15955,15905,15935,15945,,-15,50,908,398.64,
2007-11-07,CF809,15795,15895,16020,15885,16000,15960,,165,220,896,1755.38,
2007-11-06,CF809,15875,15760,15865,15760,15800,15795,,-80,112,820,884.4,
2007-11-05,CF809,15840,15940,15940,15845,15845,15875,,35,6,784,47.63,
2007-11-02,CF809,15910,15850,15875,15740,15845,15840,,-70,72,784,570.17,
2007-11-01,CF809,15875,15900,15940,15885,15885,15910,,35,12,794,95.45,
2007-10-31,CF809,15885,15730,15905,15730,15870,15875,,-10,80,790,635.04,
2007-10-30,CF809,15970,15945,15945,15825,15825,15885,,-85,38,778,301.8,
2007-10-29,CF809,15805,15870,16000,15870,15970,15970,,165,106,772,846.46,
2007-10-26,CF809,15780,15780,15860,15775,15830,15805,,25,68,760,537.36,
2007-10-25,CF809,15865,15800,15810,15680,15740,15780,,-85,140,738,1104.47,
2007-10-24,CF809,15985,15840,15900,15815,15840,15865,,-120,30,806,237.98,
2007-10-23,CF809,16145,16025,16105,15740,15885,15985,,-160,240,812,1918.04,
2007-10-22,CF809,16100,16065,16210,16020,16150,16145,,45,142,822,1146.13,
2007-10-19,CF809,16020,16060,16155,16060,16080,16100,,80,52,758,418.66,
2007-10-18,CF809,16145,16030,16070,16000,16070,16020,,-125,66,734,528.65,
2007-10-17,CF809,16055,16150,16220,16060,16060,16145,,90,186,738,1501.47,
2007-10-16,CF809,16120,16080,16125,16010,16090,16055,,-65,136,714,1091.87,
2007-10-15,CF809,16010,16070,16160,16070,16145,16120,,110,144,702,1160.65,
2007-10-12,CF809,15930,15945,16050,15945,16010,16010,,80,126,626,1008.76,
2008-01-04,CF809,15750,15730,15855,15705,15775,15780,,30,122,1542,962.48,
2008-01-03,CF809,15610,15700,15810,15670,15740,15750,,140,376,1492,2960.8,
2008-01-02,CF809,15550,15555,15650,15555,15600,15610,,60,168,1342,1311.24,
2017-11-02,CF809,"15,275.00","15,260.00","15,350.00","15,250.00","15,320.00","15,315.00",,40,188,76,"1,439.57","3,020"
2017-11-01,CF809,"15,245.00","15,225.00","15,335.00","15,225.00","15,255.00","15,275.00",,30,282,38,"2,154.02","2,944"
2017-10-31,CF809,"15,245.00","15,255.00","15,260.00","15,215.00","15,245.00","15,245.00",,0,54,-2,411.56,"2,906"
2017-10-30,CF809,"15,230.00","15,235.00","15,315.00","15,200.00","15,265.00","15,245.00",,15.00,380,132,"2,896.95","2,908"
2017-10-27,CF809,"15,345.00","15,270.00","15,270.00","15,200.00","15,210.00","15,230.00",,-115,246,106,"1,873.53","2,776"
2017-10-26,CF809,"15,335.00","15,380.00","15,400.00","15,305.00","15,315.00","15,345.00",,10,302,100,"2,317.21","2,670"
2017-10-25,CF809,"15,315.00","15,340.00","15,360.00","15,315.00","15,335.00","15,335.00",,20,148,-36,"1,134.95","2,570"
2017-10-24,CF809,"15,255.00","15,300.00","15,360.00","15,280.00","15,320.00","15,315.00",,60.00,376,-116,"2,879.27","2,606"
2017-10-23,CF809,"15,290.00","15,310.00","15,315.00","15,195.00","15,240.00","15,255.00",,-35,632,346,"4,820.87","2,722"
2017-10-20,CF809,"15,390.00","15,355.00","15,355.00","15,250.00","15,290.00","15,290.00",,-100,580,212,"4,434.81","2,376"
2017-10-19,CF809,"15,480.00","15,445.00","15,445.00","15,350.00","15,350.00","15,390.00",,-90.00,506,276,"3,893.97","2,164"
2017-10-18,CF809,"15,485.00","15,470.00","15,530.00","15,450.00","15,450.00","15,480.00",,-5.00,262,28,"2,027.93","1,888"
2017-10-17,CF809,"15,490.00","15,510.00","15,520.00","15,450.00","15,470.00","15,485.00",,-5.00,246,16,"1,904.50","1,860"
2017-10-16,CF809,"15,395.00","15,355.00","15,555.00","15,355.00","15,540.00","15,490.00",,95.00,410,30,"3,175.08","1,844"
2017-10-13,CF809,15405.00,15390.00,15455.00,15360.00,15390.00,15395.00,,-10,296,220,2278.30,1814
2017-10-12,CF809,15450.00,15425.00,15460.00,15360.00,15405.00,15405.00,,-45,302,182,2326.32,1594
2017-10-11,CF809,15455.00,15470.00,15505.00,15405.00,15420.00,15450.00,,-5,142,72,1097.11,1412
2017-10-10,CF809,15385.00,15450.00,15495.00,15410.00,15410.00,15455.00,,70.00,330,142,"2,550.42","1,340"
2017-10-09,CF809,15490.00,15500.00,15500.00,15330.00,15415.00,15385.00,,-105.00,260,98,"2,000.30","1,198"
2018-01-25,CF809,"15,960.00","15,890.00","15,995.00","15,865.00","15,920.00","15,930.00",,-30,16598,788,"132,188.85","70,142"
2018-01-24,CF809,"15,935.00","15,955.00","16,015.00","15,900.00","15,910.00","15,960.00",,25,19578,5,"156,230.78","69,354"
2018-01-23,CF809,"15,835.00","15,880.00","16,030.00","15,830.00","15,975.00","15,935.00",,100,42038,6,"334,899.48","64,232"
2018-01-22,CF809,15765.00,15695.00,15915.00,15680.00,15890.00,15835.00,,70.00,22,864,"178,086.01","57,426"
2018-01-19,CF809,"15,845.00","15,890.00","15,905.00","15,645.00","15,675.00","15,765.00",,-80.00,19182,3,"151,191.91","56,562"
2018-01-18,CF809,"15,570.00","15,560.00","15,940.00","15,550.00","15,900.00","15,845.00",,275,33498,-872,"265,429.68","53,456"
2018-01-17,CF809,"15,620.00","15,620.00","15,670.00","15,510.00","15,540.00","15,570.00",,-50,8004,1,"62,314.28","54,328"
2018-01-16,CF809,"15,680.00","15,630.00","15,685.00","15,580.00","15,600.00","15,620.00",,-60,10066,774,"78,622.51","53,220"
2018-01-15,CF809,"15,770.00","15,800.00","15,820.00","15,580.00","15,650.00","15,680.00",,-90,19846,424,"155,581.70","52,446"
2018-01-12,CF809,"15,610.00","15,650.00","15,870.00","15,625.00","15,810.00","15,770.00",,160.00,21060,7,"166,051.15","52,022"
2018-01-11,CF809,"15,580.00","15,600.00","15,635.00","15,555.00","15,635.00","15,610.00",,30,5478,750,"42,752.07","44,832"
2018-01-10,CF809,"15,570.00","15,600.00","15,630.00","15,540.00","15,600.00","15,580.00",,10,7690,844,"59,902.89","44,082"
2018-01-09,CF809,"15,490.00","15,545.00","15,610.00","15,505.00","15,610.00","15,570.00",,80,9132,1,"71,088.78","43,238"
2018-01-08,CF809,15425.00,15505.00,15535.00,15435.00,15530.00,15490.00,,65,9,41962,1010,67110.27
2018-01-05,CF809,"15,325.00","15,360.00","15,510.00","15,350.00","15,500.00","15,425.00",,100,8876,820,"68,462.20","40,952"
2018-01-04,CF809,"15,315.00","15,285.00","15,370.00","15,280.00","15,350.00","15,325.00",,10,6024,-46,"46,156.69","40,132"
2018-01-03,CF809,"15,385.00","15,415.00","15,440.00","15,265.00","15,305.00","15,315.00",,-70,10476,2,"80,220.95","40,178"
2018-01-02,CF809,"15,340.00","15,240.00","15,420.00","15,240.00","15,405.00","15,385.00",,45,4292,-128,"33,016.72","38,088"
2017-12-29,CF809,"15,390.00","15,405.00","15,465.00","15,280.00","15,335.00","15,340.00",,-50,11086,4,"85,029.37","38,216"
2017-12-28,CF809,"15,340.00","15,330.00","15,430.00","15,320.00","15,400.00","15,390.00",,50,3882,206,"29,872.99","33,414"
2008-01-09,CF809,15780,15750,15805,15740,15805,15780,,0,136,1824,1073.03,
2008-01-08,CF809,15795,15845,15845,15715,15730,15780,,-15,102,1736,804.71,
2008-01-07,CF809,15780,15750,15875,15730,15790,15795,,15,496,1704,3916.62,
2018-08-03,CF809,"16,070.00","15,990.00","16,200.00","15,940.00","16,060.00","16,060.00",,-10,25376,-7,"203,770.90","156,254"
2018-08-02,CF809,"16,220.00","16,185.00","16,280.00","15,870.00","15,995.00","16,070.00",,-150,24544,-4,"197,219.30","163,376"
2018-08-01,CF809,"16,235.00","16,265.00","16,315.00","16,055.00","16,110.00","16,220.00",,-15,26930,-7,"218,384.08","168,366"
2018-07-31,CF809,"15,880.00","15,910.00","16,425.00","15,910.00","16,265.00","16,235.00",,355,50626,6,"411,012.17","176,042"
2018-07-30,CF809,"15,960.00","15,875.00","15,950.00","15,805.00","15,910.00","15,880.00",,-80,18624,-2,"147,866.78","169,930"
2018-07-27,CF809,"16,005.00","15,905.00","16,050.00","15,860.00","15,880.00","15,960.00",,-45,13808,-678,"110,179.33","172,080"
