交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2012-11-14,CF211,19315,19380,19380,19380,19380,19380,,65,8,0,77.52,-2928
2012-11-13,CF211,19220,19280,19990,19210,19300,19315,,95,282,2928,2712.78,-602
2012-11-12,CF211,19295,19180,19300,19180,19205,19220,,-75,96,3530,922.62,62
2012-11-09,CF211,19240,19265,19300,19265,19300,19295,,55,144,3468,1389.3,98
2012-11-08,CF211,19155,19230,19260,19210,19210,19240,,85,158,3370,1519.79,2
2012-11-07,CF211,19135,19100,19240,19100,19240,19155,,20,144,3368,1377.25,-28
2012-11-06,CF211,19075,19150,19150,19100,19105,19135,,60,112,3396,1071.51,48
2012-11-05,CF211,19245,19155,19155,19010,19010,19075,,-170,602,3348,5765.18,174
2012-11-02,CF211,19240,19225,19300,19150,19150,19245,,5,384,3174,3695.09,316
2012-11-01,CF211,19160,19150,19245,19150,19235,19240,,80,64,2858,615.63,18
2012-10-31,CF211,19230,19080,19200,19080,19105,19160,,-70,132,2840,1264.57,36
2012-10-30,CF211,19210,19190,19280,19190,19230,19230,,20,270,2804,2595.47,168
2012-10-29,CF211,19235,19150,19235,19110,19110,19210,,-25,188,2636,1805.56,142
2012-10-26,CF211,19225,19230,19255,19180,19235,19235,,10,220,2494,2115.41,48
2012-10-25,CF211,19245,19130,19260,19130,19260,19225,,-20,492,2446,4737.76,-224
2012-10-24,CF211,19295,19250,19275,19220,19220,19245,,-50,1010,2670,9722.45,248
2012-10-23,CF211,19315,19275,19325,19250,19250,19295,,-20,920,2422,8876.79,110
2012-10-22,CF211,19315,19290,19360,19260,19355,19315,,0,498,2312,4809.99,-246
2012-10-19,CF211,19310,19345,19385,19260,19275,19315,,5,66,2558,637.32,-34
2012-10-18,CF211,19180,19255,19390,19255,19390,19310,,130,1394,2592,13457.34,-668
2012-10-17,CF211,19110,19210,19210,19135,19190,19180,,70,164,3260,1572.3,-118
2012-10-16,CF211,19085,19130,19150,19080,19100,19110,,25,128,3378,1222.97,-18
2012-10-15,CF211,19100,19105,19130,19020,19100,19085,,-15,596,3396,5700.15,-474
2012-10-12,CF211,19155,19085,19140,19060,19085,19100,,-55,1180,3870,11282.65,-144
2012-10-11,CF211,19190,19210,19210,19100,19110,19155,,-35,172,4014,1647.26,-22
2012-10-10,CF211,19220,19210,19210,19165,19200,19190,,-30,224,4036,2149.12,54
2012-10-09,CF211,19140,19150,19255,19150,19250,19220,,80,680,3982,6535.33,58
2012-10-08,CF211,18965,19080,19175,19080,19140,19140,,175,750,3924,7162.8,-64
2012-09-28,CF211,18940,19000,19070,18885,19070,18965,,25,798,3988,7566.27,74
2012-09-27,CF211,19045,18900,18995,18860,18990,18940,,-105,1222,3914,11582.85,94
2012-09-26,CF211,19055,19000,19095,18950,18955,19045,,-10,108,3820,1028.3,-26
2012-09-25,CF211,19085,19050,19090,19030,19045,19055,,-30,1134,3846,10809.31,214
2012-09-24,CF211,19120,19130,19025,19080,19250,19085,,-165,458,66586,3623,-167
2012-08-27,CF211,19175,19175,19180,19000,19045,19105,,-70,292,3162,2789.57,-160
2012-08-24,CF211,19210,19170,19220,19145,19160,19175,,-35,238,3322,2281.81,48
2012-08-23,CF211,19275,19270,19270,19170,19210,19210,,-65,314,3274,3016.14,152
2012-08-22,CF211,19185,19320,19330,19200,19280,19275,,90,252,3122,2428.49,92
2012-08-21,CF211,19165,19200,19220,19160,19220,19185,,20,624,3030,5985.38,206
2012-08-20,CF211,19135,19130,19210,19125,19160,19165,,30,336,2824,3219.42,-46
2012-08-17,CF211,19140,19120,19165,19110,19115,19135,,-5,266,2870,2544.65,106
2012-08-16,CF211,19085,19100,19170,19100,19150,19140,,55,356,2764,3407.11,142
2012-08-15,CF211,18985,18950,19170,18950,19105,19085,,100,404,2622,3854.87,-122
2012-08-14,CF211,18970,18945,19025,18935,18980,18985,,10,810,2744,7689.2,-644
2012-08-13,CF211,19110,18995,18995,18935,18950,18970,,-140,1186,3388,11248.8,278
2012-08-10,CF211,19070,19120,19125,19060,19085,19110,,40,56,3110,535.09,-8
2012-08-09,CF211,19070,19050,19100,19040,19085,19070,,0,72,3118,686.59,-16
2012-08-08,CF211,19025,19085,19135,18950,19005,19070,,45,156,3134,1487.64,-82
2012-08-07,CF211,18860,19255,19255,18965,19080,19025,,165,490,3216,4661.54,74
2012-08-06,CF211,18650,18825,18900,18770,18890,18860,,210,126,3142,1188.07,-12
2012-08-03,CF211,18685,18660,18685,18635,18640,18650,,-35,80,3154,746.08,-2
2012-08-02,CF211,18720,18630,18740,18630,18680,18685,,-35,136,3156,1270.74,-22
2012-08-01,CF211,18705,18760,18780,18600,18730,18720,,15,208,3178,1946.84,24
2012-09-21,CF211,19330,19280,19295,19225,19225,19250,,-80,404,3790,3893.62,-66
2012-09-20,CF211,19355,19300,19380,19295,19345,19330,,-25,420,3856,4059.07,246
2012-09-19,CF211,19335,19360,19400,19300,19310,19355,,20,276,3610,2671.15,82
2012-09-18,CF211,19155,19175,19490,19175,19340,19335,,180,4116,3528,39788.01,-442
2012-09-17,CF211,19100,19155,19190,19130,19145,19155,,55,236,3970,2260.39,134
