交易日期,合约码,昨日结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量,增减量,成交额（万元）,空盘量（手）
2009-10-21,CF911,14220,14300,14200,14200,14220,14220,,0,92,43951,608,-26
2009-10-20,CF911,14210,14280,14205,14280,14200,14220,,20,20,43859,634,-12
2009-10-19,CF911,14070,14275,14070,14260,14005,14200,,195,30,43839,646,-12
2009-10-16,CF911,14005,14015,13990,14015,13940,14005,,65,68,43809,658,-18
2009-10-15,CF911,13410,14070,13410,13980,13970,13940,,-30,102,43741,676,24
2009-10-14,CF911,13995,14020,13945,14020,13855,13970,,115,160,43639,652,-50
2009-10-13,CF911,13865,13880,13820,13885,13870,13855,,-15,158,43479,702,-14
2009-10-12,CF911,13900,13900,13820,13900,13680,13870,,190,128,43321,716,-48
2009-10-09,CF911,13435,13555,13720,13555,13705,13680,,245,100,764,683.9,-44
2009-09-30,CF911,13435,13385,13455,13375,13455,13435,,0,116,808,779.34,-80
2009-09-29,CF911,13425,13435,13420,13435,13415,13435,,20,128,42977,888,-90
2009-09-28,CF911,13540,13405,13455,13380,13405,13415,,-125,148,978,992.53,-110
2009-09-25,CF911,13505,13560,13560,13510,13510,13540,,35,14,1088,94.79,6
2009-11-13,CF911,14700,14700,14700,14700,14725,14700,,-25,8,44665,0,-368
2009-11-12,CF911,14725,0,0,0,0,14725,,0,8,368,58.9,-8
2009-11-11,CF911,14585,14650,14800,14650,14800,14725,,140,30,376,220.91,-16
2009-11-10,CF911,14575,14590,14575,14585,14415,14585,,170,56,44619,392,-2
2009-11-09,CF911,14300,14550,14300,14550,14325,14415,,90,86,44563,394,-54
2009-11-06,CF911,14335,14340,14290,14290,14355,14325,,-30,134,44477,448,-18
2009-11-05,CF911,14360,14365,14350,14350,14350,14355,,5,44,44343,466,-4
2009-11-04,CF911,14350,14350,14350,14350,14350,14350,,0,8,44299,470,-8
2009-11-03,CF911,14350,14350,14350,14350,14285,14350,,65,20,44291,478,-8
2009-11-02,CF911,14260,14300,14300,14270,14270,14285,,25,52,486,371.26,-22
2009-10-30,CF911,14260,14300,14215,14220,14265,14260,,-5,108,44219,508,-30
2009-10-29,CF911,14300,14300,14200,14260,14345,14265,,-80,30,44111,538,-12
2009-10-28,CF911,0,0,0,0,14230,14345,,115,0,44081,550,0
2009-10-27,CF911,14270,14280,14220,14275,14245,14230,,-15,30,44081,550,0
2009-10-26,CF911,14260,14260,14215,14215,14245,14245,,0,20,44051,550,-16
2009-10-23,CF911,14300,14300,14215,14235,14220,14245,,25,44,44031,566,-6
2009-10-22,CF911,14220,14220,14220,14220,14220,14220,,0,36,43987,572,-36
2009-07-30,CF911,13420,13420,13420,13355,13410,13390,,-30,568,2370,3802.17,-560
2009-07-29,CF911,13440,13435,13480,13360,13365,13420,,-20,206,2930,1382.18,48
2009-07-28,CF911,13375,13435,13455,13410,13435,13440,,65,532,2882,3575.37,94
2009-07-27,CF911,13405,13340,13400,13335,13395,13375,,-30,96,2788,641.93,-4
2009-07-24,CF911,13420,13420,13390,13395,13375,13405,,30,38,27005,2792,4
2009-07-23,CF911,13340,13345,13430,13340,13360,13375,,35,106,2788,708.85,58
2009-07-22,CF911,13295,13365,13295,13360,13400,13340,,-60,362,26861,2730,196
2009-07-21,CF911,13400,13435,13370,13375,13380,13400,,20,236,26499,2534,32
2009-07-20,CF911,13360,13400,13335,13370,13355,13380,,25,76,26263,2502,-34
2009-07-17,CF911,13385,13390,13315,13365,13390,13355,,-35,84,26187,2536,0
2009-07-16,CF911,13450,13450,13345,13350,13455,13390,,-65,116,26103,2536,-2
2009-07-15,CF911,13450,13500,13380,13390,13410,13455,,45,828,25987,2538,490
