序号,日期,价格,涨跌
1,1999-11-30,11512,
1,1999-12-30,11286,
1,2000-1-30,11510,
1,2000-3-30,11725,
1,2000-6-30,12094,
1,2000-7-30,11721,
1,2000-8-30,11775,
1,2000-9-30,10871,
1,2000-10-30,11661,
1,2000-11-30,12088,
1,2001-1-30,12081,
1,2001-2-28,12049,
1,2001-3-30,11758,
1,2001-4-30,11908,
1,2001-5-30,11800,
1,2001-6-30,11752,
1,2001-7-30,11577,
1,2001-8-30,11213,
1,2001-9-30,9443,
1,2001-10-30,9118,
1,2001-11-30,8384,
1,2001-12-30,7924,
1,2002-1-30,7993,
1,2002-2-28,8189,
1,2002-4-30,8473,
1,2002-5-30,8360,
1,2002-6-24,8574,-14
2,2002-6-17,8588,49
3,2002-6-10,8526,
1,2002-7-15,8814,146
2,2002-7-8,8668,53
3,2002-7-1,8615,41
1,2002-8-5,9626,417
2,2002-7-29,9209,266
3,2002-7-22,8943,129
1,2002-9-9,10344,-152
2,2002-9-2,10496,-140
3,2002-8-26,10636,-101
1,2002-9-30,10008,-102
2,2002-9-23,10110,-66
3,2002-9-16,10176,-168
1,2002-10-21,10335,134
2,2002-10-14,10201,193
1,2002-11-11,10866,48
2,2002-11-4,10818,186
3,2002-10-28,10632,297
1,2002-12-2,11011,76
2,2002-11-25,10935,12
3,2002-11-18,10923,57
1,2002-12-23,11028,-8
2,2002-12-16,11036,11
3,2002-12-9,11025,14
1,2003-1-6,11048,11
2,2002-12-30,11037,9
1,2003-2-17,11736,498
1,2003-3-10,12885,517
2,2003-3-3,12368,320
3,2003-2-24,12048,312
1,2003-3-31,13418,19
2,2003-3-24,13399,251
3,2003-3-17,13148,263
1,2003-4-21,13246,-13
2,2003-4-14,13259,-103
3,2003-4-7,13362,-56
1,2003-4-28,13138,-108
1,2003-5-26,12136,-267
2,2003-5-19,12403,-77
3,2003-5-14,12480,-658
1,2003-6-16,12475,208
2,2003-6-9,12267,78
3,2003-6-2,12189,53
1,2003-7-9,13065,-17
2,2003-7-7,13082,10
3,2003-7-2,13072,27
4,2003-6-30,13045,99
5,2003-6-25,12946,184
6,2003-6-23,12762,287
1,2003-7-30,13049,-9
2,2003-7-28,13058,-1
3,2003-7-23,13059,-40
4,2003-7-21,13099,-36
5,2003-7-16,13135,26
6,2003-7-14,13109,44
1,2003-8-20,12852,-60
2,2003-8-18,12912,-77
3,2003-8-13,12989,-11
4,2003-8-11,13000,-6
5,2003-8-6,13006,-36
6,2003-8-4,13042,-7
1,2003-9-8,13109,28
2,2003-9-3,13081,149
3,2003-9-1,12932,43
4,2003-8-27,12889,28
5,2003-8-25,12861,9
1,2003-9-29,14107,202
2,2003-9-24,13905,113
3,2003-9-22,13792,187
4,2003-9-17,13605,196
5,2003-9-15,13409,60
6,2003-9-10,13349,240
1,2003-10-15,16618,670
2,2003-10-13,15948,706
3,2003-10-8,15242,1135
1,2003-11-5,17606,-2
2,2003-11-3,17608,52
3,2003-10-29,17556,371
4,2003-10-27,17185,110
5,2003-10-22,17075,-48
6,2003-10-20,17123,505
1,2003-11-26,17429,-103
2,2003-11-24,17532,-25
3,2003-11-19,17557,-18
4,2003-11-17,17575,0
5,2003-11-12,17575,16
6,2003-11-10,17559,-47
1,2004-1-5,17305,7
2,2003-12-31,17298,2
3,2003-12-29,17296,1
4,2003-12-25,17295,2
5,2003-12-22,17293,0
1,2004-1-19,17333,6
2,2004-1-15,17327,2
3,2004-1-12,17325,10
4,2004-1-8,17315,10
1,2004-2-16,17685,34
2,2004-2-12,17651,32
3,2004-2-9,17619,94
4,2004-2-5,17525,172
5,2004-2-2,17353,20
1,2004-3-4,17659,-19
2,2004-3-1,17678,-25
3,2004-2-26,17703,0
4,2004-2-23,17703,0
5,2004-2-19,17703,18
1,2004-3-25,17385,-52
2,2004-3-22,17437,-1
3,2004-3-18,17438,-31
4,2004-3-15,17469,-43
5,2004-3-11,17512,-106
