序号,日期,价格,涨跌
2,2004-12-22,10369,-8
3,2004-12-21,10377,-36
4,2004-12-20,10412,-20
5,2004-12-17,10433,-9
6,2004-12-16,10442,-10
7,2004-12-15,10452,-7
8,2004-12-14,10459,-9
9,2004-12-13,10468,-11
10,2004-12-10,10479,-13
11,2004-12-9,10492,-26
12,2004-12-8,10518,-15
13,2004-12-7,10533,-15
14,2004-12-6,10548,-12
1,2005-1-12,10361,0
2,2005-1-11,10361,3
3,2005-1-10,10358,6
4,2005-1-7,10352,3
5,2005-1-6,10349,3
6,2005-1-5,10346,3
7,2005-1-4,10343,1
8,2005-1-3,10342,0
9,2004-12-31,10342,-2
10,2004-12-30,10344,-3
11,2004-12-29,10347,0
12,2004-12-28,10347,-3
13,2004-12-27,10350,-6
14,2004-12-24,10356,-6
1,2005-2-1,10477,5
2,2005-1-31,10472,2
3,2005-1-28,10470,18
4,2005-1-27,10452,9
5,2005-1-26,10443,18
6,2005-1-25,10425,18
7,2005-1-24,10407,6
8,2005-1-21,10401,3
9,2005-1-20,10398,3
10,2005-1-19,10395,3
11,2005-1-18,10392,20
12,2005-1-17,10372,5
13,2005-1-14,10367,2
14,2005-1-13,10365,4
1,2005-3-11,10685,0
2,2005-3-10,10685,0
3,2005-3-9,10685,-1
4,2005-3-8,10686,1
5,2005-3-7,10685,9
6,2005-3-4,10676,2
7,2005-3-3,10674,10
8,2005-3-2,10664,14
9,2005-3-1,10650,15
10,2005-2-28,10635,6
11,2005-2-25,10629,7
12,2005-2-24,10622,4
13,2005-2-23,10618,21
14,2005-2-22,10597,88
1,2005-4-1,10683,0
2,2005-3-31,10683,0
3,2005-3-30,10683,0
4,2005-3-29,10683,0
5,2005-3-28,10683,0
6,2005-3-25,10683,-4
7,2005-3-24,10687,0
8,2005-3-23,10687,2
9,2005-3-22,10685,0
10,2005-3-21,10685,0
11,2005-3-18,10685,0
12,2005-3-17,10685,0
13,2005-3-16,10685,0
14,2005-3-15,10685,0
15,2005-3-14,10685,0
1,2005-4-22,10841,2
2,2005-4-21,10839,60
3,2005-4-20,10779,31
4,2005-4-19,10748,38
5,2005-4-18,10710,12
6,2005-4-15,10698,0
7,2005-4-14,10698,3
8,2005-4-13,10695,0
9,2005-4-12,10695,7
10,2005-4-11,10688,0
11,2005-4-8,10688,3
12,2005-4-7,10685,0
13,2005-4-6,10685,2
14,2005-4-5,10683,0
15,2005-4-4,10683,0
1,2005-6-1,11396,-1
2,2005-5-31,11397,-1
3,2005-5-30,11398,-29
4,2005-5-27,11427,-60
5,2005-5-26,11487,-56
6,2005-5-25,11543,-15
7,2005-5-24,11558,-11
8,2005-5-23,11569,27
9,2005-5-20,11542,13
10,2005-5-19,11529,11
11,2005-5-18,11518,1
12,2005-5-17,11517,0
13,2005-5-16,11517,0
14,2005-5-13,11517,1
1,2005-6-21,11672,51
2,2005-6-20,11621,16
3,2005-6-17,11605,25
4,2005-6-16,11580,25
5,2005-6-15,11555,42
6,2005-6-14,11513,86
7,2005-6-13,11427,24
8,2005-6-10,11403,22
9,2005-6-9,11381,2
10,2005-6-8,11379,1
11,2005-6-7,11378,0
12,2005-6-6,11378,-17
13,2005-6-3,11395,0
14,2005-6-2,11395,-1
1,2005-7-11,11868,15
2,2005-7-8,11853,16
3,2005-7-7,11837,5
4,2005-7-6,11832,2
5,2005-7-5,11830,14
6,2005-7-4,11816,0
7,2005-7-1,11816,0
8,2005-6-30,11816,3
9,2005-6-29,11813,15
10,2005-6-28,11798,7
11,2005-6-27,11791,62
12,2005-6-24,11729,39
13,2005-6-24,11792,39
14,2005-6-23,11690,13
15,2005-6-22,11677,5
1,2005-7-29,11996,10
2,2005-7-28,11986,9
3,2005-7-27,11977,0
4,2005-7-26,11977,0
5,2005-7-25,11977,-1
6,2005-7-22,11978,3
7,2005-7-21,11975,0
8,2005-7-20,11975,15
9,2005-7-19,11960,7
