序号,日期,价格,涨跌
1,2013-9-27,19460,0
2,2013-9-26,19460,0
3,2013-9-25,19460,60
4,2013-9-24,19400,-50
5,2013-9-23,19450,+70
6,2013-9-22,19380,-20
7,2013-9-18,19400,0
8,2013-9-17,19400,0
9,2013-9-16,19400,0
1,2013-11-6,19665,15
2,2013-11-5,19650,1
3,2013-11-4,19649,0
4,2013-11-1,19649,-2
5,2013-10-31,19651,-12
6,2013-10-30,19663,1
7,2013-10-29,19662,-9
8,2013-10-28,19671,12
9,2013-10-25,19659,4
10,2013-10-24,19655,25
11,2013-10-23,19630,3
12,2013-10-22,19627,22
13,2013-10-21,19605,13
14,2013-10-18,19592,28
1,2013-11-26,19645,-16
2,2013-11-25,19661,-16
3,2013-11-22,19677,-1
4,2013-11-21,19678,-2
5,2013-11-20,19680,-26
6,2013-11-19,19706,-17
7,2013-11-18,19723,3
8,2013-11-15,19720,-8
9,2013-11-14,19728,-7
10,2013-11-13,19735,21
11,2013-11-12,19714,9
12,2013-11-11,19705,14
13,2013-11-8,19691,10
14,2013-11-7,19681,16
1,2013-12-16,19498,0
2,2013-12-13,19498,-6
3,2013-12-12,19504,0
4,2013-12-11,19504,-6
5,2013-12-10,19510,-7
6,2013-12-9,19517,-10
7,2013-12-6,19527,-9
8,2013-12-5,19536,-9
9,2013-12-4,19545,-5
10,2013-12-3,19550,-7
11,2013-12-2,19557,-46
12,2013-11-29,19603,-2
13,2013-11-28,19605,-35
14,2013-11-27,19640,-5
1,2014-1-3,19534,4
2,2014-1-2,19530,-4
3,2013-12-31,19534,-4
4,2013-12-30,19538,3
5,2013-12-27,19535,9
6,2013-12-26,19526,0
7,2013-12-25,19526,5
8,2013-12-24,19521,-8
9,2013-12-23,19529,9
10,2013-12-20,19520,-1
11,2013-12-19,19521,3
12,2013-12-18,19518,17
13,2013-12-17,19501,3
1,2014-2-14,19448,-6
2,2014-2-13,19454,4
3,2014-2-12,19450,1
4,2014-2-11,19449,-1
5,2014-2-10,19450,6
6,2014-2-8,19444,1
7,2014-2-7,19443,1
8,2014-1-30,19442,6
9,2014-1-29,19436,7
10,2014-1-28,19429,3
11,2014-1-27,19426,1
12,2014-1-26,19425,6
1,2014-4-15,18498,-9
2,2014-4-14,18507,-8
3,2014-4-11,18515,-11
4,2014-4-10,18526,-142
5,2014-4-9,18668,-289
6,2014-4-8,18957,-28
7,2014-4-4,18985,-375
8,2014-4-3,19360,-15
9,2014-4-2,19375,-28
10,2014-4-1,19403,-3
11,2014-3-31,19406,-1
12,2014-3-28,19407,-2
13,2014-3-27,19409,-2
1,2014-5-5,17470,5
2,2014-5-4,17465,-53
3,2014-4-30,17518,-9
4,2014-4-29,17527,-171
5,2014-4-28,17698,-108
6,2014-4-25,17806,-137
7,2014-4-24,17943,-115
8,2014-4-23,18058,-109
9,2014-4-22,18167,-144
10,2014-4-21,18311,-85
11,2014-4-18,18396,-76
12,2014-4-17,18472,-22
13,2014-4-16,18494,-4
1,2014-5-23,17402,-7
2,2014-5-22,17409,-11
3,2014-5-21,17420,-2
4,2014-5-20,17422,-3
5,2014-5-19,17425,-2
6,2014-5-16,17427,-1
7,2014-5-15,17428,-35
8,2014-5-14,17463,-2
9,2014-5-13,17465,0
10,2014-5-12,17465,-7
11,2014-5-9,17472,1
12,2014-5-8,17471,0
13,2014-5-7,17471,1
14,2014-5-6,17470,0
1,2014-7-4,17318,-5
2,2014-7-3,17323,-5
3,2014-7-2,17328,-1
4,2014-7-1,17329,-3
5,2014-6-30,17332,-5
6,2014-6-27,17337,-13
7,2014-6-26,17350,-2
