序号,日期,价格,涨跌
1,1999-11-30,,
1,1999-12-30,,
1,2000-3-30,,
1,2000-4-30,,
1,2000-5-30,,
1,2000-6-30,,
1,2000-7-30,,
1,2000-8-30,,
1,2000-9-30,,
1,2000-11-30,,
1,2001-1-30,,
1,2001-2-28,,
1,2001-3-30,,
1,2001-4-30,,
1,2001-5-30,,
1,2001-6-30,,
1,2001-7-30,,
1,2001-8-30,,
1,2001-9-30,,
1,2001-10-30,,
1,2001-11-30,,
1,2002-1-30,,
1,2002-2-28,,
1,2002-3-30,,
1,2002-4-30,,
1,2002-6-17,8988,-
2,2002-6-10,,
3,2002-5-30,,
1,2002-7-1,9050,50
2,2002-6-24,9000,12
1,2002-7-22,9352,156
2,2002-7-15,9196,75
3,2002-7-8,9121,71
1,2002-8-12,10619,528
2,2002-8-5,10091,425
3,2002-7-29,9666,314
1,2002-9-23,10503,-65
2,2002-9-16,10568,-201
3,2002-9-9,10769,-209
1,2002-10-14,10589,214
2,2002-9-30,10375,-128
1,2002-11-4,11302,223
2,2002-10-28,11079,273
3,2002-10-21,10806,217
1,2002-11-18,11381,23
2,2002-11-11,11358,56
1,2002-12-9,11425,3
2,2002-12-2,11422,33
3,2002-11-25,11389,8
1,2002-12-30,11420,0
2,2002-12-23,11420,-6
3,2002-12-16,11426,1
1,2003-3-3,12809,390
2,2003-2-24,12419,307
3,2003-2-17,12112,484
1,2003-4-7,13789,-37
2,2003-3-31,13826,13
1,2003-4-28,13520,-175
2,2003-4-21,13695,-37
3,2003-4-14,13732,-57
1,2003-5-19,12742,-84
2,2003-5-14,12826,-694
1,2003-6-9,12871,246
2,2003-6-2,12566,53
3,2003-5-26,12513,-229
1,2003-7-2,13439,46
2,2003-6-30,13393,103
3,2003-6-25,13290,194
4,2003-6-23,13096,225
5,2003-6-16,12625,59
1,2003-7-21,13490,-33
2,2003-7-16,13523,66
3,2003-7-14,13457,15
4,2003-7-9,13442,-4
5,2003-7-7,13446,7
1,2003-8-11,13352,-26
2,2003-8-6,13378,-41
3,2003-8-4,13419,-14
4,2003-7-30,13433,-11
5,2003-7-28,13444,5
6,2003-7-23,13439,-51
1,2003-8-27,13252,20
2,2003-8-25,13232,9
3,2003-8-20,13223,-62
4,2003-8-18,13285,-56
5,2003-8-13,13341,-11
1,2003-9-17,14009,194
2,2003-9-15,13815,46
3,2003-9-10,13769,220
4,2003-9-8,13549,79
5,2003-9-3,13470,145
6,2003-9-1,13325,73
1,2003-10-8,15716,1095
2,2003-9-29,14621,222
3,2003-9-24,14399,288
4,2003-9-22,14111,102
1,2003-10-29,18058,386
2,2003-10-27,17672,87
3,2003-10-22,17585,-27
4,2003-10-20,17612,509
5,2003-10-15,17103,652
6,2003-10-13,16451,735
1,2003-11-19,18260,-1
2,2003-11-17,18261,0
3,2003-11-12,18261,14
4,2003-11-10,18247,-4
5,2003-11-5,18251,62
6,2003-11-3,18189,131
1,2003-12-8,17847,-7
2,2003-12-3,17854,
3,2003-12-1,18073,-6
4,2003-11-26,18079,-165
5,2003-11-24,18244,-16
1,2003-12-29,17887,1
2,2003-12-25,17886,7
3,2003-12-22,17879,23
4,2003-12-17,17856,10
5,2003-12-15,17846,-3
6,2003-12-10,17849,2
1,2004-1-15,17984,9
2,2004-1-12,17975,22
3,2004-1-8,17953,36
4,2004-1-5,17917,11
5,2003-12-31,17906,19
1,2004-2-5,18285,234
2,2004-2-2,18051,45
3,2004-1-19,18006,22
1,2004-2-26,18474,15
2,2004-2-23,18459,0
3,2004-2-19,18459,18
4,2004-2-16,18441,24
5,2004-2-12,18417,27
6,2004-2-9,18390,105
1,2004-3-18,18322,-9
2,2004-3-15,18331,-14
3,2004-3-11,18345,-47
4,2004-3-8,18392,-21
5,2004-3-4,18413,-16
6,2004-3-1,18429,-45
1,2004-4-26,18147,-78
2,2004-4-22,18225,-47
3,2004-4-19,18272,-4
4,2004-4-15,18276,-17
5,2004-4-12,18293,-13
6,2004-4-8,18306,-20
1,2004-5-17,17846,-32
2,2004-5-13,17878,-67
3,2004-5-10,17945,-97
4,2004-5-2,18042,-33
5,2004-4-29,18075,-72
1,2004-6-3,17058,-198
2,2004-5-31,17256,-170
3,2004-5-27,17426,-165
4,2004-5-24,17591,-167
5,2004-5-20,17758,-88
1,2004-6-24,15379,-392
2,2004-6-21,15771,-332
3,2004-6-17,16103,-385
4,2004-6-14,16488,-141
5,2004-6-10,16629,-269
6,2004-6-7,16898,-160
1,2004-7-16,14642,-16
2,2004-7-15,14658,-75
3,2004-7-12,14733,-94
4,2004-7-8,14827,-232
5,2004-7-5,15059,-38
