序号,日期,价格,涨跌
1,2013-9-27,20200,0
2,2013-9-26,20200,0
3,2013-9-25,20200,100
4,2013-9-24,20100,-50
5,2013-9-23,20150,+60
6,2013-9-22,20090,-10
7,2013-9-18,20100,+30
8,2013-9-17,20070,+10
9,2013-9-16,20060,0
1,2013-11-6,20511,5
2,2013-11-5,20506,8
3,2013-11-4,20498,11
4,2013-11-1,20487,-3
5,2013-10-31,20490,0
6,2013-10-30,20490,2
7,2013-10-29,20488,0
8,2013-10-28,20488,4
9,2013-10-25,20484,1
10,2013-10-24,20483,24
11,2013-10-23,20459,11
12,2013-10-22,20448,17
13,2013-10-21,20431,20
14,2013-10-18,20411,23
1,2013-12-16,20267,-17
2,2013-12-13,20284,-11
3,2013-12-12,20295,-11
4,2013-12-11,20306,-4
5,2013-12-10,20310,-5
6,2013-12-9,20315,-14
7,2013-12-6,20329,-6
8,2013-12-5,20335,-3
9,2013-12-4,20338,-43
10,2013-12-3,20381,-2
11,2013-12-2,20383,-44
12,2013-11-29,20427,-14
13,2013-11-28,20441,-16
14,2013-11-27,20457,0
1,2014-1-3,20305,-8
2,2014-1-2,20313,-6
3,2013-12-31,20319,-2
4,2013-12-30,20321,6
5,2013-12-27,20315,9
6,2013-12-26,20306,2
7,2013-12-25,20304,5
8,2013-12-24,20299,-3
9,2013-12-23,20302,4
10,2013-12-20,20298,3
11,2013-12-19,20295,7
12,2013-12-18,20288,11
13,2013-12-17,20277,10
1,2014-1-24,20276,15
2,2014-1-23,20261,6
3,2014-1-22,20255,13
4,2014-1-21,20242,-9
5,2014-1-20,20251,8
6,2014-1-17,20243,6
7,2014-1-16,20237,10
8,2014-1-15,20227,-22
9,2014-1-14,20249,0
10,2014-1-13,20249,-14
11,2014-1-10,20263,-29
12,2014-1-9,20292,-8
13,2014-1-8,20300,-9
14,2014-1-7,20309,9
15,2014-1-6,20300,-5
1,2014-2-14,20307,-9
2,2014-2-13,20316,-7
3,2014-2-12,20323,4
4,2014-2-11,20319,-2
5,2014-2-10,20321,12
6,2014-2-8,20309,-2
7,2014-2-7,20311,6
8,2014-1-30,20305,5
9,2014-1-29,20300,5
10,2014-1-28,20295,9
11,2014-1-27,20286,3
12,2014-1-26,20283,7
1,2014-3-6,20323,-8
2,2014-3-5,20331,1
3,2014-3-4,20330,5
4,2014-3-3,20325,0
5,2014-2-28,20325,6
6,2014-2-27,20319,1
7,2014-2-26,20318,3
8,2014-2-25,20315,2
9,2014-2-24,20313,2
10,2014-2-21,20311,-2
11,2014-2-20,20313,0
12,2014-2-19,20313,-2
13,2014-2-18,20315,3
14,2014-2-17,20312,5
1,2014-3-26,20254,2
2,2014-3-25,20252,1
3,2014-3-24,20251,-7
4,2014-3-21,20258,-5
5,2014-3-20,20263,-9
6,2014-3-19,20272,-6
7,2014-3-18,20278,-1
8,2014-3-17,20279,-6
9,2014-3-14,20285,-5
10,2014-3-13,20290,-6
11,2014-3-12,20296,-11
12,2014-3-11,20307,-8
13,2014-3-10,20315,0
14,2014-3-7,20315,-8
1,2014-4-15,19310,-8
2,2014-4-14,19318,-25
3,2014-4-11,19343,-50
4,2014-4-10,19393,-116
5,2014-4-9,19509,-281
6,2014-4-8,19790,-28
7,2014-4-4,19818,-399
8,2014-4-3,20217,-8
9,2014-4-2,20225,-20
10,2014-4-1,20245,-4
11,2014-3-31,20249,-3
12,2014-3-28,20252,0
13,2014-3-27,20252,-2
1,2014-5-5,18357,6
2,2014-5-4,18351,-48
3,2014-4-30,18399,-56
4,2014-4-29,18455,-146
5,2014-4-28,18601,-106
6,2014-4-25,18707,-131
7,2014-4-24,18838,-95
8,2014-4-23,18933,-110
9,2014-4-22,19043,-142
10,2014-4-21,19185,-55
11,2014-4-18,19240,-47
12,2014-4-17,19287,-23
13,2014-4-16,19310,0
1,2014-5-23,18242,-11
2,2014-5-22,18253,-23
3,2014-5-21,18276,-7
4,2014-5-20,18283,0
5,2014-5-19,18283,0
6,2014-5-16,18283,-7
7,2014-5-15,18290,-25
8,2014-5-14,18315,-8
9,2014-5-13,18323,-2
10,2014-5-12,18325,-12
11,2014-5-9,18337,-9
12,2014-5-8,18346,-2
13,2014-5-7,18348,-3
14,2014-5-6,18351,-6
1,2014-7-4,18029,-3
2,2014-7-3,18032,-1
3,2014-7-2,18033,-12
4,2014-7-1,18045,-8
5,2014-6-30,18053,-9
6,2014-6-27,18062,-10
7,2014-6-26,18072,-8
8,2014-6-25,18080,-3
9,2014-6-24,18083,-5
10,2014-6-23,18088,-51
11,2014-6-20,18139,-1
12,2014-6-19,18140,-3
13,2014-6-18,18143,-3
14,2014-6-17,18146,-7
15,2014-6-16,18153,0
1,2014-7-24,17857,-22
2,2014-7-23,17879,-13
3,2014-7-22,17892,-35
4,2014-7-21,17927,-5
5,2014-7-18,17932,-1
6,2014-7-17,17933,-7
7,2014-7-16,17940,-3
8,2014-7-15,17943,-37
9,2014-7-14,17980,-5
10,2014-7-11,17985,-12
11,2014-7-10,17997,-8
12,2014-7-9,18005,-15
13,2014-7-8,18020,-6
14,2014-7-7,18026,-3
1,2014-9-2,17620,-17
2,2014-9-1,17637,0
